FID,the_geom,LAYER,ROAD_TYPE
roadsnew_lines.21,"MULTILINESTRING ((-61.28855279838598 15.538676987495796, -61.28853508796036 15.538540984878088, -61.288517106960555 15.538453193325928, -61.28855845711683 15.538353772250048, -61.28869338024536 15.53824903226776, -61.288787876370755 15.538131888594913, -61.28887643688613 15.53797842901262, -61.28897105750495 15.53784617378256, -61.28905268444918 15.53777728987302, -61.28919336791106 15.53773002141117, -61.289371410595024 15.537689087579874, -61.28955237115777 15.53767235610614, -61.289699463867485 15.537603979610918, -61.28976852104753 15.53754708787399))",Unknown Line Type,Secondary_road
roadsnew_lines.22,"MULTILINESTRING ((-61.28854074032235 15.538396369993961, -61.288280530933676 15.538409042580309, -61.288196058448676 15.538406388696746, -61.28812311783531 15.53836826588505, -61.28806012795342 15.538382381645645, -61.28788705390301 15.538436505427947, -61.28770783243676 15.53851831497446, -61.287399851622176 15.538576326065273, -61.28716808204049 15.538610795976654, -61.28700877416298 15.53864809532261, -61.286776892073064 15.538696165099012, -61.286645741333906 15.53869010982512, -61.28652976755404 15.538608104571303, -61.286307129659974 15.538386489295258, -61.286158467281446 15.538267457394829, -61.2858694457014 15.538156402023544))",Unknown Line Type,Secondary_road
roadsnew_lines.23,"MULTILINESTRING ((-61.28976852104753 15.53754708787399, -61.28977613920937 15.537451771541985, -61.28980429410877 15.53738695918972, -61.289861566556226 15.537260210932212, -61.289865346077825 15.537160781572473, -61.28983079120585 15.537044797321968, -61.28978541784123 15.536924903852576, -61.28970578978961 15.53677222943884, -61.28969164902895 15.536692744129892, -61.28968337915785 15.536619042343101, -61.28968379727529 15.536568359921372, -61.28971566848287 15.536411768386055, -61.289745740442555 15.536234123555733, -61.2897584682476 15.536126156573014, -61.28976191642851 15.536066890640388, -61.28977819525843 15.536006767854005, -61.28980457281248 15.53583784420135, -61.28982278464564 15.535702823610894, -61.289842080224744 15.535595863864486, -61.28988409093012 15.535445726432284, -61.28991204564537 15.53540513958971, -61.28997276345753 15.535378832952972, -61.29004635936442 15.535385779022334, -61.290159693731475 15.535358605086369, -61.29023649823838 15.535295444830957, -61.290285631962774 15.535238445637141, -61.29031812079484 15.53512648762763, -61.29032165527117 15.535016855426809, -61.290346968053456 15.53481813420019, -61.29033761384953 15.534676524314774, -61.29033711873682 15.534577061771191, -61.290350857921574 15.534346373043174, -61.290341756011834 15.53417416242936, -61.29032581556447 15.534033776608148, -61.290347772464 15.533923012053876, -61.29037743096098 15.533835259189662, -61.290430751463326 15.533748964795903, -61.290506986425235 15.53359526702171, -61.29053856958509 15.533433572549017, -61.290547458974984 15.533312505802051, -61.290617790639914 15.533077155054936, -61.290671342040284 15.532962809895437, -61.29071708663771 15.532838203336176))",Unknown Line Type,Secondary_road
roadsnew_lines.24,"MULTILINESTRING ((-61.28976018730523 15.536096610117088, -61.28957747530911 15.536077675423194, -61.28941828181515 15.536030536948362, -61.28920655235356 15.535974490170128, -61.28911566290225 15.53593808212285, -61.289077898732785 15.535839180644794, -61.28896449397344 15.53576859495172, -61.28888297566481 15.53565915316527, -61.28885717772226 15.535597747732055))",Unknown Line Type,Secondary_road
roadsnew_lines.25,"MULTILINESTRING ((-61.28976852104753 15.53754708787399, -61.289930212833156 15.537532542152688, -61.29004663007073 15.537529414757119, -61.29007060843385 15.537648091539074, -61.290108885524404 15.53779120073699, -61.29015786278451 15.537912715994187, -61.29017395036699 15.538035251384153, -61.29019221608211 15.538212633439214, -61.29022490662417 15.538395227764255, -61.290260500980835 15.538544691707953, -61.29027461031116 15.538588154866227))",Unknown Line Type,Tertiary_road
roadsnew_lines.91,"MULTILINESTRING ((-61.291835602181685 15.546047119042889, -61.291846326789674 15.545962525300455, -61.291807138574946 15.545894215717595, -61.29174462478049 15.545818924793116, -61.29153100872715 15.545635920289092, -61.29142696892543 15.545492301549414, -61.291327493427175 15.545362319332378, -61.291258021561234 15.545280173777305, -61.2911042825399 15.545208709352506, -61.29099012405813 15.545157953431406, -61.290716933508186 15.545110498247057, -61.29045677582424 15.545102838395344))",Unknown Line Type,Tertiary_road
roadsnew_lines.300,"MULTILINESTRING ((-61.320801034781944 15.521511415597246, -61.320707464060554 15.521405758857895, -61.320587334854885 15.521226515736325, -61.32051970959978 15.521108122598658, -61.320408736721575 15.52095312930533, -61.32035036548663 15.520846896654326, -61.320304316444584 15.520758892924706))",Unknown Line Type,Tertiary_road
roadsnew_lines.26,"MULTILINESTRING ((-61.29004663007073 15.537529414757119, -61.29010539847704 15.53740879908375, -61.29012268107387 15.537297856710909, -61.29017091938367 15.537119148372177, -61.29026593758933 15.536938535767096, -61.290341466008435 15.536852980354432, -61.29039329596138 15.536805777928555, -61.29051676475575 15.53686113964013, -61.2906222580088 15.536827954247052, -61.29079497368361 15.536582204391864, -61.290911220477504 15.536379087269559, -61.290980033214055 15.536257209707953, -61.29102767255973 15.53615103613111, -61.29101470924437 15.536021724360381, -61.29099258056675 15.535869672923093, -61.2909981348472 15.535763173275033, -61.29103395299808 15.535672776154202, -61.291196922593315 15.535474554501384, -61.29139329699751 15.5351949842615, -61.29153574642241 15.534933131087842, -61.291602556377704 15.534770434132811, -61.291621014412605 15.534516688042041, -61.29163659273966 15.534328658767683, -61.291674486892255 15.534270013691202, -61.29181018639288 15.534259730160853, -61.29193402765417 15.534269756532078, -61.29208136133194 15.534266363514288, -61.29220097461738 15.534221952194033, -61.29225787158561 15.534127184234647, -61.292279567299516 15.53404801183313, -61.29232767207 15.533885169767977, -61.29239579236752 15.533847160316583, -61.2926511045582 15.533792464709649, -61.29280326329846 15.533770973576521, -61.292906360661114 15.533744568963703, -61.29296277200278 15.533708735585297))",Unknown Line Type,Secondary_road
roadsnew_lines.27,"MULTILINESTRING ((-61.28812311783531 15.53836826588505, -61.28814556877276 15.538176781517876, -61.288152654496244 15.537955817446942, -61.28815390393781 15.537804514087966, -61.28812297170984 15.537727767405073, -61.28803037032628 15.537686245134154, -61.287902641769364 15.5376512507407, -61.28770440608066 15.537659912718093, -61.28740248609119 15.5376949717891, -61.28729049750675 15.53766519970562, -61.287180908645205 15.537557239487993, -61.287144969005695 15.537449851189127, -61.287144128477024 15.53733933517176, -61.287157161821334 15.537247628500976, -61.28720145000223 15.537193567752793, -61.28725443567128 15.537148075262216, -61.28735670322423 15.537080863523782, -61.287504324197634 15.537042906350093, -61.28761189439309 15.536970635210817, -61.28772994366938 15.536903545800307, -61.2878517948079 15.536800782751609, -61.288009025571995 15.53666089100092, -61.288162749039074 15.53652097189702, -61.288339464849464 15.536357429027523, -61.28845602667835 15.53625802483144, -61.28850417224561 15.53616149001628, -61.288536451703216 15.53607503296537, -61.28853733583014 15.53596793054811, -61.288530981259235 15.535887974322083, -61.28855847717234 15.535743675137638, -61.28864508808848 15.535661039887424, -61.288691030841015 15.535618892633476, -61.28880335537761 15.535607862991407, -61.28885717772226 15.535597747732055, -61.28892042712756 15.535585208165116, -61.28898152832025 15.53554898726447, -61.289047664701464 15.535503596266224, -61.289106183703026 15.535424993282714, -61.28913433845936 15.535360180998016, -61.28915720103174 15.535299152995353, -61.28917945333149 15.535152687825578, -61.289193478038975 15.535046962389503, -61.289227293071164 15.534933739765593, -61.289246525717175 15.534834430264308, -61.28926568470032 15.53474404596452, -61.28921251830107 15.534687591736011, -61.289132080421005 15.534659765537915, -61.289000692048994 15.534643445170703, -61.28885328344693 15.534655902971576, -61.28864867982532 15.534663288791885, -61.28846425066185 15.534699261190744, -61.28832534301572 15.534744087385757, -61.288160062209336 15.534797209566772, -61.2880319002123 15.534814916598677, -61.28793211752634 15.53479374043136, -61.2878604193934 15.534769381905122, -61.2877977275754 15.534716190764822, -61.28779640924332 15.534663475979158, -61.28781464643383 15.53457861018458, -61.28784197410896 15.534454711561875, -61.28789040018799 15.534324176091326, -61.287940635869404 15.534186854058806, -61.288058879877596 15.534095963749927, -61.28814539196718 15.534025228903092, -61.288233685589006 15.53395110754532, -61.28828006304855 15.53385625914852, -61.288300277995795 15.533744206270304, -61.28828724622129 15.53362339469177, -61.28827779165774 15.533494110131132, -61.28826662568101 15.533359711848757, -61.28825698869036 15.533252527787916))",Unknown Line Type,Secondary_road
roadsnew_lines.28,"MULTILINESTRING ((-61.288552797383396 15.538676987221285, -61.28858806159436 15.538937195718226, -61.288644672343416 15.539254994663573, -61.288690212522134 15.539403449952694, -61.2888779559117 15.539698088364137, -61.289213294137106 15.539863903971252, -61.28953027803652 15.539987262305852, -61.28954843568502 15.540053897827557, -61.28956003082653 15.540159773059525, -61.28945974828697 15.540222468282245, -61.28933447568543 15.540291013418841, -61.288883477054895 15.541000160755893, -61.28829873173309 15.541965838178463, -61.28821291163237 15.542164655878857, -61.28822415714295 15.542312845019685, -61.28825328598367 15.54256091384092, -61.28820821830543 15.542732846021332, -61.28808446305031 15.542994842105294, -61.28808301493734 15.543170135080487, -61.288105009232176 15.543526957541374, -61.28813411182165 15.543778050540807, -61.28811153946576 15.54386854846639, -61.28806422798554 15.543934675739383, -61.28796425017202 15.544049799188715))",Unknown Line Type,Secondary_road
roadsnew_lines.29,"MULTILINESTRING ((-61.287964063102095 15.544072440777915, -61.28814011846397 15.544311338149228, -61.28831400013839 15.544491770212323, -61.28856502234536 15.544675067856142, -61.28895046152535 15.54472112993672, -61.28933550013455 15.544755811668793, -61.289700265924814 15.544756941519928, -61.289894552327944 15.544802652448391, -61.290184530142376 15.544940913313061, -61.29045677582424 15.545102838395344, -61.29080035940073 15.545333322166117, -61.29112065592148 15.545623130135468, -61.291344980613566 15.545854388862024, -61.2914253529661 15.545890714890804, -61.29190786803841 15.54607466970856, -61.2924223977665 15.54620446676855, -61.293230328322885 15.546425592906502, -61.29374549960336 15.546605892739903, -61.29399736492521 15.546687749090053, -61.29411964342043 15.546746500461596, -61.29419259622467 15.546832072490819, -61.294277908528045 15.546907539235386, -61.29446072760012 15.547210447076248, -61.294606167367256 15.54743825901174, -61.29493869391707 15.547379625934253, -61.29528292992395 15.547318816022955, -61.29578863128824 15.547243385833179, -61.296556563578534 15.547126910487954, -61.29712131521525 15.546979393621218, -61.29782006910668 15.546744502041085, -61.2979095905503 15.546663585932833, -61.29861302631587 15.546143102009875, -61.298926271739674 15.545927918308319))",Unknown Line Type,Primary_road
roadsnew_lines.30,"MULTILINESTRING ((-61.29136282931725 15.54586245597446, -61.29153104811028 15.546094771308704, -61.291767280051 15.546370892537729, -61.2918918781616 15.546573608940196, -61.29193288142274 15.546705404787485, -61.29205869683072 15.54704414242858, -61.29214777435048 15.547300988273292, -61.29222852703227 15.547433092047553, -61.29236122441386 15.547504392860857, -61.29252983542442 15.547473962870253, -61.29276900295081 15.547394208172342, -61.293251360291904 15.547314069386553, -61.29341982170635 15.54730177245596, -61.293520569083334 15.547277616876059, -61.29364267750119 15.54721508987644, -61.29396453952701 15.547031698054376, -61.29415017056817 15.546922058151418, -61.29423192446534 15.546866862023546))",Unknown Line Type,Primary_road
