FID,the_geom,LAYER,TOWNS,NAME,CLASS,POPULATION
d_towns_points.118,POINT (-61.457010822923934 15.565120712092442),Unknown Point Feature,Glanvillia,Glanvillia,Suburban,52
d_towns_points.119,POINT (-61.42671275356392 15.414631966094012),Unknown Point Feature,Castaways,Castaways,Suburban,32
d_towns_points.120,POINT (-61.37081347270763 15.304593643109834),Unknown Point Feature,Louisville,Louisville,Rural,0
d_towns_points.121,POINT (-61.377322518034404 15.307757747332198),Unknown Point Feature,Gutter,Gutter,Rural,68
d_towns_points.122,POINT (-61.252356435441364 15.333452893195462),Unknown Point Feature,Carse_O'_Gowrie,Carse_O'_Gowrie,Suburban,48
d_towns_points.123,POINT (-61.264609833296625 15.51598403494552),Unknown Point Feature,Atkinson,Atkinson,Rural,57
d_towns_points.124,POINT (-61.35673138666291 15.58829636211113),Unknown Point Feature,Savane_Paille,Savane_Paille,Rural,3
d_towns_points.125,POINT (-61.41230171247938 15.616650175057945),Unknown Point Feature,Enbas,Enbas,Rural,58
d_towns_points.126,POINT (-61.4054187360182 15.611487204510585),Unknown Point Feature,Au_Park,Au_Park,Rural,59
d_towns_points.127,POINT (-61.3738947468257 15.405906774924452),Unknown Point Feature,Layou_Park,Layou_Park,Rural,101
d_towns_points.128,POINT (-61.45752304781467 15.585767107918516),Unknown Point Feature,Stowe,Stowe,Rural,76
d_towns_points.129,POINT (-61.44971688021896 15.58492874420024),Unknown Point Feature,Grange,Grange,Rural,75
d_towns_points.130,POINT (-61.457655263758035 15.580197555530557),Unknown Point Feature,Lagon,Lagon,Rural,12
d_towns_points.131,POINT (-61.30984078934478 15.546820073216058),Unknown Point Feature,Caye-En-Boucs,Caye-En-Boucs,Rural,93
d_towns_points.132,POINT (-61.31633796708851 15.239841246789037),Unknown Point Feature,,,,0
d_towns_points.133,POINT (-61.316107410774514 15.23981150788785),Unknown Point Feature,Berekua,,Rural,0
