FID,the_geom,ID,GRIDCODE
wind_5c.11,"MULTIPOLYGON (((670602.75 1728129.75, 670542.75 1728129.75, 670542.75 1728159.75, 670512.75 1728159.75, 670512.75 1728279.75, 670542.75 1728279.75, 670542.75 1728249.75, 670572.75 1728249.75, 670572.75 1728219.75, 670602.75 1728219.75, 670602.75 1728129.75)))",11,4
wind_5c.12,"MULTIPOLYGON (((667482.75 1727949.75, 667452.75 1727949.75, 667452.75 1727979.75, 667332.75 1727979.75, 667332.75 1728009.75, 667302.75 1728009.75, 667302.75 1728039.75, 667242.75 1728039.75, 667242.75 1728069.75, 667212.75 1728069.75, 667212.75 1728099.75, 667152.75 1728099.75, 667152.75 1728129.75, 667122.75 1728129.75, 667122.75 1728159.75, 667062.75 1728159.75, 667062.75 1728189.75, 667032.75 1728189.75, 667032.75 1728309.75, 667062.75 1728309.75, 667062.75 1728399.75, 667092.75 1728399.75, 667092.75 1728459.75, 667122.75 1728459.75, 667122.75 1728519.75, 667152.75 1728519.75, 667152.75 1728549.75, 667182.75 1728549.75, 667182.75 1728609.75, 667212.75 1728609.75, 667212.75 1728849.75, 667272.75 1728849.75, 667272.75 1728819.75, 667302.75 1728819.75, 667302.75 1728759.75, 667332.75 1728759.75, 667332.75 1728729.75, 667362.75 1728729.75, 667362.75 1728699.75, 667392.75 1728699.75, 667392.75 1728669.75, 667422.75 1728669.75, 667422.75 1728639.75, 667482.75 1728639.75, 667482.75 1728609.75, 667542.75 1728609.75, 667542.75 1728579.75, 667572.75 1728579.75, 667572.75 1728549.75, 667692.75 1728549.75, 667692.75 1728519.75, 667812.75 1728519.75, 667812.75 1728489.75, 667842.75 1728489.75, 667842.75 1728459.75, 667872.75 1728459.75, 667872.75 1728429.75, 667902.75 1728429.75, 667902.75 1728399.75, 667932.75 1728399.75, 667932.75 1728279.75, 667902.75 1728279.75, 667902.75 1728249.75, 667872.75 1728249.75, 667872.75 1728219.75, 667842.75 1728219.75, 667842.75 1728129.75, 667812.75 1728129.75, 667812.75 1728099.75, 667782.75 1728099.75, 667782.75 1728069.75, 667662.75 1728069.75, 667662.75 1728039.75, 667602.75 1728039.75, 667602.75 1728009.75, 667572.75 1728009.75, 667572.75 1727979.75, 667482.75 1727979.75, 667482.75 1727949.75)))",12,5
wind_5c.13,"MULTIPOLYGON (((669552.75 1727649.75, 669432.75 1727649.75, 669432.75 1727679.75, 669402.75 1727679.75, 669402.75 1727709.75, 669432.75 1727709.75, 669432.75 1727769.75, 669492.75 1727769.75, 669492.75 1727799.75, 669552.75 1727799.75, 669552.75 1727829.75, 669642.75 1727829.75, 669642.75 1727799.75, 669672.75 1727799.75, 669672.75 1727739.75, 669642.75 1727739.75, 669642.75 1727709.75, 669612.75 1727709.75, 669612.75 1727679.75, 669552.75 1727679.75, 669552.75 1727649.75)))",13,2
wind_5c.14,"MULTIPOLYGON (((675822.75 1724919.75, 675882.75 1724919.75, 675882.75 1724949.75, 675822.75 1724949.75, 675822.75 1724979.75, 675852.75 1724979.75, 675852.75 1725009.75, 675942.75 1725009.75, 675942.75 1725039.75, 676032.75 1725039.75, 676032.75 1725009.75, 676062.75 1725009.75, 676062.75 1724979.75, 676092.75 1724979.75, 676092.75 1724949.75, 676122.75 1724949.75, 676122.75 1724919.75, 676092.75 1724919.75, 676092.75 1724889.75, 676062.75 1724889.75, 676062.75 1724829.75, 675882.75 1724829.75, 675882.75 1724859.75, 675852.75 1724859.75, 675852.75 1724889.75, 675822.75 1724889.75, 675822.75 1724919.75)))",36,1
wind_5c.15,"MULTIPOLYGON (((678402.75 1724859.75, 678492.75 1724859.75, 678492.75 1724829.75, 678462.75 1724829.75, 678462.75 1724799.75, 678432.75 1724799.75, 678432.75 1724829.75, 678402.75 1724829.75, 678402.75 1724859.75)))",37,1
wind_5c.16,"MULTIPOLYGON (((673602.75 1724769.75, 673602.75 1724889.75, 673572.75 1724889.75, 673572.75 1724949.75, 673602.75 1724949.75, 673602.75 1725009.75, 673632.75 1725009.75, 673632.75 1725069.75, 673722.75 1725069.75, 673722.75 1725039.75, 673752.75 1725039.75, 673752.75 1724919.75, 673722.75 1724919.75, 673692.75 1724919.75, 673692.75 1724889.75, 673662.75 1724889.75, 673662.75 1724859.75, 673632.75 1724859.75, 673632.75 1724769.75, 673602.75 1724769.75)))",38,1
wind_5c.17,"MULTIPOLYGON (((678642.75 1724769.75, 678642.75 1724859.75, 678612.75 1724859.75, 678612.75 1724889.75, 678552.75 1724889.75, 678552.75 1724919.75, 678612.75 1724919.75, 678612.75 1724949.75, 678642.75 1724949.75, 678642.75 1724979.75, 678702.75 1724979.75, 678702.75 1724949.75, 678732.75 1724949.75, 678732.75 1724829.75, 678702.75 1724829.75, 678702.75 1724799.75, 678672.75 1724799.75, 678672.75 1724769.75, 678642.75 1724769.75)))",39,1
wind_5c.18,"MULTIPOLYGON (((664392.75 1727619.75, 664392.75 1727649.75, 664422.75 1727649.75, 664422.75 1727709.75, 664452.75 1727709.75, 664452.75 1727769.75, 664482.75 1727769.75, 664482.75 1727859.75, 664512.75 1727859.75, 664512.75 1727919.75, 664482.75 1727919.75, 664482.75 1727979.75, 664512.75 1727979.75, 664512.75 1728039.75, 664542.75 1728039.75, 664542.75 1728069.75, 664572.75 1728069.75, 664572.75 1728189.75, 664602.75 1728189.75, 664602.75 1728369.75, 664632.75 1728369.75, 664632.75 1728429.75, 664662.75 1728429.75, 664662.75 1728549.75, 664692.75 1728549.75, 664692.75 1728669.75, 664722.75 1728669.75, 664722.75 1728699.75, 664752.75 1728699.75, 664752.75 1728729.75, 664722.75 1728729.75, 664722.75 1728819.75, 664752.75 1728819.75, 664752.75 1728849.75, 664782.75 1728849.75, 664782.75 1728879.75, 664842.75 1728879.75, 664842.75 1728969.75, 664872.75 1728969.75, 664872.75 1728879.75, 664902.75 1728879.75, 664902.75 1728789.75, 664932.75 1728789.75, 664932.75 1728699.75, 664962.75 1728699.75, 664962.75 1728669.75, 664992.75 1728669.75, 664992.75 1728609.75, 665052.75 1728609.75, 665052.75 1728579.75, 665112.75 1728579.75, 665112.75 1728549.75, 665142.75 1728549.75, 665142.75 1728519.75, 665202.75 1728519.75, 665202.75 1728489.75, 665232.75 1728489.75, 665232.75 1728459.75, 665262.75 1728459.75, 665262.75 1728399.75, 665292.75 1728399.75, 665292.75 1728339.75, 665322.75 1728339.75, 665322.75 1728279.75, 665352.75 1728279.75, 665352.75 1728219.75, 665382.75 1728219.75, 665382.75 1728189.75, 665412.75 1728189.75, 665412.75 1728099.75, 665352.75 1728099.75, 665352.75 1728069.75, 665322.75 1728069.75, 665322.75 1728039.75, 665292.75 1728039.75, 665292.75 1728009.75, 665232.75 1728009.75, 665232.75 1727979.75, 665202.75 1727979.75, 665202.75 1727949.75, 665172.75 1727949.75, 665172.75 1727889.75, 665142.75 1727889.75, 665142.75 1727799.75, 665112.75 1727799.75, 665112.75 1727769.75, 665082.75 1727769.75, 665082.75 1727739.75, 665022.75 1727739.75, 665022.75 1727709.75, 664902.75 1727709.75, 664902.75 1727679.75, 664752.75 1727679.75, 664752.75 1727649.75, 664602.75 1727649.75, 664602.75 1727619.75, 664392.75 1727619.75)))",14,1
wind_5c.19,"MULTIPOLYGON (((664182.75 1727469.75, 664152.75 1727469.75, 664152.75 1727499.75, 664122.75 1727499.75, 664122.75 1727709.75, 664152.75 1727709.75, 664152.75 1727739.75, 664182.75 1727739.75, 664182.75 1727799.75, 664212.75 1727799.75, 664212.75 1727829.75, 664242.75 1727829.75, 664242.75 1727859.75, 664272.75 1727859.75, 664272.75 1727829.75, 664302.75 1727829.75, 664302.75 1727709.75, 664332.75 1727709.75, 664332.75 1727649.75, 664302.75 1727649.75, 664302.75 1727619.75, 664272.75 1727619.75, 664272.75 1727589.75, 664212.75 1727589.75, 664212.75 1727499.75, 664182.75 1727499.75, 664182.75 1727469.75)))",15,1
wind_5c.20,"MULTIPOLYGON (((664182.75 1727469.75, 664182.75 1727499.75, 664212.75 1727499.75, 664212.75 1727589.75, 664272.75 1727589.75, 664272.75 1727619.75, 664302.75 1727619.75, 664302.75 1727649.75, 664332.75 1727649.75, 664332.75 1727469.75, 664302.75 1727469.75, 664302.75 1727439.75, 664212.75 1727439.75, 664212.75 1727469.75, 664182.75 1727469.75)))",16,2
wind_5c.21,"MULTIPOLYGON (((664002.75 1727319.75, 663972.75 1727319.75, 663972.75 1727529.75, 664002.75 1727529.75, 664002.75 1727589.75, 664062.75 1727589.75, 664062.75 1727529.75, 664092.75 1727529.75, 664092.75 1727499.75, 664062.75 1727499.75, 664062.75 1727379.75, 664032.75 1727379.75, 664032.75 1727349.75, 664002.75 1727349.75, 664002.75 1727319.75)))",17,1
