FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.736,POINT (-61.46385426994475 15.609063853807124),Unknown Point Feature,B__736,Unknown,?
building_map_dom_points.737,POINT (-61.46395143125253 15.609209622443512),Unknown Point Feature,B__737,Unknown,?
building_map_dom_points.738,POINT (-61.46414360741114 15.60916109178317),Unknown Point Feature,B__738,Unknown,?
building_map_dom_points.739,POINT (-61.46410213852672 15.609389770734458),Unknown Point Feature,B__739,Unknown,?
building_map_dom_points.740,POINT (-61.46387756937981 15.609390467421616),Unknown Point Feature,B__740,Unknown,?
building_map_dom_points.741,POINT (-61.463885896138684 15.609528813784713),Unknown Point Feature,B__741,Unknown,?
building_map_dom_points.742,POINT (-61.46391517343231 15.609680908768194),Unknown Point Feature,B__742,Unknown,?
building_map_dom_points.743,POINT (-61.46396361919349 15.60977192829255),Unknown Point Feature,B__743,Unknown,?
building_map_dom_points.744,POINT (-61.46389053351206 15.60984849582782),Unknown Point Feature,B__744,Unknown,?
building_map_dom_points.745,POINT (-61.46397236795087 15.609853602140731),Unknown Point Feature,B__745,Unknown,?
building_map_dom_points.746,POINT (-61.46410576366976 15.609845466849363),Unknown Point Feature,B__746,Unknown,?
building_map_dom_points.747,POINT (-61.46387026789817 15.610056919802535),Unknown Point Feature,B__747,Unknown,?
building_map_dom_points.748,POINT (-61.46402229509898 15.610688214094594),Unknown Point Feature,B__748,Unknown,?
building_map_dom_points.749,POINT (-61.463290283617816 15.610980073234453),Unknown Point Feature,B__749,Unknown,?
building_map_dom_points.750,POINT (-61.463737264392755 15.611268844349194),Unknown Point Feature,B__750,Unknown,?
building_map_dom_points.751,POINT (-61.46389730274432 15.611138476628314),Unknown Point Feature,B__751,Unknown,?
building_map_dom_points.752,POINT (-61.46407840971604 15.611005989085523),Unknown Point Feature,B__752,Unknown,?
building_map_dom_points.753,POINT (-61.46435283780474 15.611221007715235),Unknown Point Feature,B__753,Unknown,?
building_map_dom_points.754,POINT (-61.464151033239254 15.611305743362472),Unknown Point Feature,B__754,Unknown,?
building_map_dom_points.755,POINT (-61.46306984204599 15.611368457821449),Unknown Point Feature,B__755,Unknown,?
building_map_dom_points.756,POINT (-61.463192075248394 15.611602815937761),Unknown Point Feature,B__756,Unknown,?
building_map_dom_points.757,POINT (-61.46310949703034 15.611697452841451),Unknown Point Feature,B__757,Unknown,?
building_map_dom_points.758,POINT (-61.46338384853328 15.611608691758908),Unknown Point Feature,B__758,Unknown,?
building_map_dom_points.759,POINT (-61.46360753295002 15.611413026047478),Unknown Point Feature,B__759,Unknown,?
building_map_dom_points.760,POINT (-61.45693893452096 15.612270281424589),Unknown Point Feature,B__760,Unknown,?
building_map_dom_points.761,POINT (-61.456788500201995 15.612327883356935),Unknown Point Feature,B__761,Unknown,?
building_map_dom_points.762,POINT (-61.464684797240864 15.611942228453081),Unknown Point Feature,B__762,Unknown,?
building_map_dom_points.763,POINT (-61.46439743820158 15.611997650617914),Unknown Point Feature,B__763,Unknown,?
building_map_dom_points.764,POINT (-61.46424638457606 15.612177955896126),Unknown Point Feature,B__764,Unknown,?
building_map_dom_points.765,POINT (-61.464436632851466 15.612179286142757),Unknown Point Feature,B__765,Unknown,?
building_map_dom_points.766,POINT (-61.46418279285407 15.612340736534039),Unknown Point Feature,B__766,Unknown,?
building_map_dom_points.767,POINT (-61.46389089627628 15.612586555757076),Unknown Point Feature,B__767,Unknown,?
building_map_dom_points.768,POINT (-61.4632069719169 15.612702678658394),Unknown Point Feature,B__768,Unknown,?
building_map_dom_points.769,POINT (-61.46395758360197 15.612534939805213),Unknown Point Feature,B__769,Unknown,?
building_map_dom_points.770,POINT (-61.46511552511797 15.61253283387207),Unknown Point Feature,B__770,Unknown,?
building_map_dom_points.771,POINT (-61.46574373361844 15.61322413032657),Unknown Point Feature,B__771,Unknown,?
building_map_dom_points.772,POINT (-61.46606966731461 15.614326495553566),Unknown Point Feature,B__772,Unknown,?
building_map_dom_points.773,POINT (-61.46590059693238 15.614412972592513),Unknown Point Feature,B__773,Unknown,?
building_map_dom_points.774,POINT (-61.46576902666911 15.61407048915605),Unknown Point Feature,B__774,Unknown,?
building_map_dom_points.775,POINT (-61.4655738205652 15.613896831814836),Unknown Point Feature,B__775,Unknown,?
building_map_dom_points.776,POINT (-61.46573028030768 15.613828403051874),Unknown Point Feature,B__776,Unknown,?
building_map_dom_points.777,POINT (-61.465703357356126 15.613674057633105),Unknown Point Feature,B__777,Unknown,?
building_map_dom_points.778,POINT (-61.46560732513137 15.61358572859594),Unknown Point Feature,B__778,Unknown,?
building_map_dom_points.779,POINT (-61.46555964296554 15.61370630313338),Unknown Point Feature,B__779,Unknown,?
building_map_dom_points.780,POINT (-61.465463745721316 15.613599838826833),Unknown Point Feature,B__780,Unknown,?
building_map_dom_points.781,POINT (-61.46548313252606 15.613221193156306),Unknown Point Feature,B__781,Unknown,?
building_map_dom_points.782,POINT (-61.46552293865089 15.613294582666965),Unknown Point Feature,B__782,Unknown,?
building_map_dom_points.783,POINT (-61.465627579856275 15.613378626757726),Unknown Point Feature,B__783,Unknown,?
building_map_dom_points.784,POINT (-61.465297534398026 15.613406925311095),Unknown Point Feature,B__784,Unknown,?
building_map_dom_points.785,POINT (-61.465400982467315 15.613887122764233),Unknown Point Feature,B__785,Unknown,?
building_map_dom_points.786,POINT (-61.46496869467247 15.613744679850516),Unknown Point Feature,B__786,Unknown,?
building_map_dom_points.787,POINT (-61.46511217632722 15.613560353936597),Unknown Point Feature,B__787,Unknown,?
building_map_dom_points.788,POINT (-61.46518922436927 15.613815932060083),Unknown Point Feature,B__788,Unknown,?
building_map_dom_points.789,POINT (-61.465276334778586 15.613898153537837),Unknown Point Feature,B__789,Unknown,?
building_map_dom_points.790,POINT (-61.4652166614402 15.613901137025405),Unknown Point Feature,B__790,Unknown,?
building_map_dom_points.791,POINT (-61.46480961339479 15.613903392635327),Unknown Point Feature,B__791,Unknown,?
building_map_dom_points.792,POINT (-61.46532933668598 15.614320189474546),Unknown Point Feature,B__792,Unknown,?
building_map_dom_points.793,POINT (-61.46501860029738 15.614346922154718),Unknown Point Feature,B__793,Unknown,?
building_map_dom_points.794,POINT (-61.465016289176226 15.614421717615983),Unknown Point Feature,B__794,Unknown,?
building_map_dom_points.795,POINT (-61.464792065132 15.614139606641139),Unknown Point Feature,B__795,Unknown,?
building_map_dom_points.796,POINT (-61.46467593594132 15.614184701885698),Unknown Point Feature,B__796,Unknown,?
building_map_dom_points.797,POINT (-61.46476813215883 15.614290762809702),Unknown Point Feature,B__797,Unknown,?
building_map_dom_points.798,POINT (-61.46449989277892 15.614265083675157),Unknown Point Feature,B__798,Unknown,?
building_map_dom_points.799,POINT (-61.464434538545035 15.614324135916831),Unknown Point Feature,B__799,Unknown,?
building_map_dom_points.800,POINT (-61.46431453334625 15.614418511492707),Unknown Point Feature,B__800,Unknown,?
building_map_dom_points.801,POINT (-61.46374909238678 15.61472230415325),Unknown Point Feature,B__801,Unknown,?
building_map_dom_points.802,POINT (-61.46364526239572 15.61500042087659),Unknown Point Feature,B__802,Unknown,?
building_map_dom_points.803,POINT (-61.463650189647744 15.61481002589532),Unknown Point Feature,B__803,Unknown,?
building_map_dom_points.804,POINT (-61.46347907935197 15.614934648130571),Unknown Point Feature,B__804,Unknown,?
building_map_dom_points.805,POINT (-61.4632603481789 15.614621969434936),Unknown Point Feature,B__805,Unknown,?
building_map_dom_points.806,POINT (-61.46302305366355 15.614681518156537),Unknown Point Feature,B__806,Unknown,?
building_map_dom_points.807,POINT (-61.463091442384496 15.614450761089705),Unknown Point Feature,B__807,Unknown,?
building_map_dom_points.808,POINT (-61.46263775378918 15.614590407396053),Unknown Point Feature,B__808,Unknown,?
building_map_dom_points.809,POINT (-61.462628237647245 15.61539626509234),Unknown Point Feature,B__809,Unknown,?
building_map_dom_points.810,POINT (-61.46258582870733 15.615436774464598),Unknown Point Feature,B__810,Unknown,?
building_map_dom_points.811,POINT (-61.46271692447977 15.615502302254862),Unknown Point Feature,B__811,Unknown,?
building_map_dom_points.812,POINT (-61.46278058856265 15.6154347374591),Unknown Point Feature,B__812,Unknown,?
building_map_dom_points.813,POINT (-61.463326981601476 15.615333145561932),Unknown Point Feature,B__813,Unknown,?
building_map_dom_points.814,POINT (-61.464486748732206 15.615087919346973),Unknown Point Feature,B__814,Unknown,?
building_map_dom_points.815,POINT (-61.46473540006349 15.615152567699713),Unknown Point Feature,B__815,Unknown,?
building_map_dom_points.816,POINT (-61.46462235622772 15.615490129772647),Unknown Point Feature,B__816,Unknown,?
building_map_dom_points.817,POINT (-61.464802106800875 15.615618906329697),Unknown Point Feature,B__817,Unknown,?
building_map_dom_points.818,POINT (-61.46447828293431 15.615518026813124),Unknown Point Feature,B__818,Unknown,?
building_map_dom_points.819,POINT (-61.464314265884134 15.615632497707665),Unknown Point Feature,B__819,Unknown,?
building_map_dom_points.820,POINT (-61.464433206368525 15.615209963907564),Unknown Point Feature,B__820,Unknown,?
building_map_dom_points.821,POINT (-61.464386522145844 15.615117823215028),Unknown Point Feature,B__821,Unknown,?
building_map_dom_points.822,POINT (-61.46424896012665 15.615213776193245),Unknown Point Feature,B__822,Unknown,?
building_map_dom_points.823,POINT (-61.464172160599446 15.615160530896564),Unknown Point Feature,B__823,Unknown,?
building_map_dom_points.824,POINT (-61.46389277354304 15.615218085857792),Unknown Point Feature,B__824,Unknown,?
building_map_dom_points.825,POINT (-61.46375339356291 15.615322527097264),Unknown Point Feature,B__825,Unknown,?
building_map_dom_points.826,POINT (-61.46384367071988 15.615450678396012),Unknown Point Feature,B__826,Unknown,?
building_map_dom_points.827,POINT (-61.46393329535145 15.615430902211596),Unknown Point Feature,B__827,Unknown,?
building_map_dom_points.828,POINT (-61.46398004273593 15.615514542113425),Unknown Point Feature,B__828,Unknown,?
building_map_dom_points.829,POINT (-61.46403641039978 15.615484331669451),Unknown Point Feature,B__829,Unknown,?
building_map_dom_points.830,POINT (-61.46355987514057 15.615628920711432),Unknown Point Feature,B__830,Unknown,?
building_map_dom_points.831,POINT (-61.46370880638325 15.615655466693102),Unknown Point Feature,B__831,Unknown,?
building_map_dom_points.832,POINT (-61.46395128512519 15.615763712867352),Unknown Point Feature,B__832,Unknown,?
building_map_dom_points.833,POINT (-61.463754677623164 15.61577820655565),Unknown Point Feature,B__833,Unknown,?
building_map_dom_points.834,POINT (-61.46378683480309 15.615857777138352),Unknown Point Feature,B__834,Unknown,?
building_map_dom_points.835,POINT (-61.463802280149004 15.615982571145414),Unknown Point Feature,B__835,Unknown,?
building_map_dom_points.836,POINT (-61.463984869768474 15.615965712354194),Unknown Point Feature,B__836,Unknown,?
building_map_dom_points.837,POINT (-61.46433767792205 15.61602258849865),Unknown Point Feature,B__837,Unknown,?
building_map_dom_points.838,POINT (-61.46394095814226 15.616207976031486),Unknown Point Feature,B__838,Unknown,?
building_map_dom_points.839,POINT (-61.46394393682177 15.616128653476013),Unknown Point Feature,B__839,Unknown,?
building_map_dom_points.840,POINT (-61.46385884374768 15.61612518899195),Unknown Point Feature,B__840,Unknown,?
building_map_dom_points.841,POINT (-61.46371956655602 15.616142147031661),Unknown Point Feature,B__841,Unknown,?
building_map_dom_points.842,POINT (-61.463775634432515 15.61616692745429),Unknown Point Feature,B__842,Unknown,?
building_map_dom_points.843,POINT (-61.46351268674452 15.616192344961034),Unknown Point Feature,B__843,Unknown,?
building_map_dom_points.844,POINT (-61.46331093428165 15.616249751553141),Unknown Point Feature,B__844,Unknown,?
building_map_dom_points.845,POINT (-61.463427572445056 15.615993057720493),Unknown Point Feature,B__845,Unknown,?
building_map_dom_points.846,POINT (-61.463557567246035 15.616029832285099),Unknown Point Feature,B__846,Unknown,?
building_map_dom_points.847,POINT (-61.46299981761771 15.615720226978578),Unknown Point Feature,B__847,Unknown,?
building_map_dom_points.848,POINT (-61.46281584664511 15.61568705924196),Unknown Point Feature,B__848,Unknown,?
building_map_dom_points.849,POINT (-61.46250867208535 15.61576524602794),Unknown Point Feature,B__849,Unknown,?
building_map_dom_points.850,POINT (-61.462967891599035 15.615943162942017),Unknown Point Feature,B__850,Unknown,?
building_map_dom_points.851,POINT (-61.463032825133496 15.616058385175355),Unknown Point Feature,B__851,Unknown,?
building_map_dom_points.852,POINT (-61.462865084535004 15.616142649159467),Unknown Point Feature,B__852,Unknown,?
building_map_dom_points.853,POINT (-61.462725948738196 15.616273020350038),Unknown Point Feature,B__853,Unknown,?
building_map_dom_points.854,POINT (-61.46280471623379 15.61594457105798),Unknown Point Feature,B__854,Unknown,?
building_map_dom_points.855,POINT (-61.46260327877909 15.615959738322465),Unknown Point Feature,B__855,Unknown,?
building_map_dom_points.856,POINT (-61.4624292159315 15.616009527394548),Unknown Point Feature,B__856,Unknown,?
building_map_dom_points.857,POINT (-61.46207456818968 15.616101408244127),Unknown Point Feature,B__857,Unknown,?
building_map_dom_points.858,POINT (-61.46193046035123 15.616016235904382),Unknown Point Feature,B__858,Unknown,?
building_map_dom_points.859,POINT (-61.461717580338686 15.615977763954845),Unknown Point Feature,B__859,Unknown,?
building_map_dom_points.860,POINT (-61.46143188560353 15.61599871582082),Unknown Point Feature,B__860,Unknown,?
building_map_dom_points.861,POINT (-61.460694101354065 15.616297041509952),Unknown Point Feature,B__861,Unknown,?
building_map_dom_points.862,POINT (-61.46064472553136 15.615860578473903),Unknown Point Feature,B__862,Unknown,?
building_map_dom_points.863,POINT (-61.46070621213194 15.616437397924052),Unknown Point Feature,B__863,Unknown,?
building_map_dom_points.864,POINT (-61.460720668928985 15.616616026650371),Unknown Point Feature,B__864,Unknown,?
building_map_dom_points.865,POINT (-61.461032261391104 15.616651365919422),Unknown Point Feature,B__865,Unknown,?
building_map_dom_points.866,POINT (-61.46038041704194 15.616718207090026),Unknown Point Feature,B__866,Unknown,?
building_map_dom_points.867,POINT (-61.460205465857115 15.61671060427992),Unknown Point Feature,B__867,Unknown,?
building_map_dom_points.868,POINT (-61.45916953936849 15.617364454670591),Unknown Point Feature,B__868,Unknown,?
building_map_dom_points.869,POINT (-61.45891511066529 15.616977276856026),Unknown Point Feature,B__869,Unknown,?
building_map_dom_points.870,POINT (-61.45910636332758 15.617053430561244),Unknown Point Feature,B__870,Unknown,?
building_map_dom_points.871,POINT (-61.45930990479781 15.617050324890378),Unknown Point Feature,B__871,Unknown,?
building_map_dom_points.872,POINT (-61.458549031458894 15.61713113095212),Unknown Point Feature,B__872,Unknown,?
building_map_dom_points.873,POINT (-61.45860391065516 15.617429738990419),Unknown Point Feature,B__873,Unknown,?
building_map_dom_points.874,POINT (-61.46339961955728 15.61577376069012),Unknown Point Feature,B__874,Unknown,?
building_map_dom_points.875,POINT (-61.4628135777796 15.616722230756771),Unknown Point Feature,B__875,Unknown,?
building_map_dom_points.876,POINT (-61.462821543046026 15.616889337276987),Unknown Point Feature,B__876,Unknown,?
building_map_dom_points.877,POINT (-61.46250489570936 15.61682591077723),Unknown Point Feature,B__877,Unknown,?
building_map_dom_points.878,POINT (-61.46572121798716 15.615645408199049),Unknown Point Feature,B__878,Unknown,?
building_map_dom_points.879,POINT (-61.456257512566935 15.618466146524558),Unknown Point Feature,B__879,Unknown,?
building_map_dom_points.880,POINT (-61.45707256296061 15.618752985375393),Unknown Point Feature,B__880,Unknown,?
building_map_dom_points.881,POINT (-61.45434623732414 15.618219248490979),Unknown Point Feature,B__881,Unknown,?
building_map_dom_points.882,POINT (-61.45438015244337 15.618375910819564),Unknown Point Feature,B__882,Unknown,?
building_map_dom_points.883,POINT (-61.45446738169207 15.618285844570432),Unknown Point Feature,B__883,Unknown,?
building_map_dom_points.884,POINT (-61.45016643496118 15.617966617372064),Unknown Point Feature,B__884,Unknown,?
building_map_dom_points.885,POINT (-61.450266319394544 15.617982624722039),Unknown Point Feature,B__885,Unknown,?
building_map_dom_points.886,POINT (-61.45047926467274 15.610595650325914),Unknown Point Feature,B__886,Unknown,?
building_map_dom_points.887,POINT (-61.46038471779546 15.60896091854919),Unknown Point Feature,B__887,Unknown,?
building_map_dom_points.888,POINT (-61.46121363216921 15.60021588048962),Unknown Point Feature,B__888,Unknown,?
building_map_dom_points.889,POINT (-61.461063599531535 15.60026017032675),Unknown Point Feature,B__889,Unknown,?
building_map_dom_points.890,POINT (-61.46092673207513 15.60010732171676),Unknown Point Feature,B__890,Unknown,?
building_map_dom_points.891,POINT (-61.460983019635066 15.600087312723558),Unknown Point Feature,B__891,Unknown,?
building_map_dom_points.892,POINT (-61.46138845684258 15.599983601608411),Unknown Point Feature,B__892,Unknown,?
building_map_dom_points.893,POINT (-61.461574029981236 15.599878350812551),Unknown Point Feature,B__893,Unknown,?
building_map_dom_points.894,POINT (-61.461394039623215 15.599548373207428),Unknown Point Feature,B__894,Unknown,?
building_map_dom_points.895,POINT (-61.46136934151338 15.599409912198029),Unknown Point Feature,B__895,Unknown,?
building_map_dom_points.896,POINT (-61.461400102906076 15.59936252015995),Unknown Point Feature,B__896,Unknown,?
building_map_dom_points.897,POINT (-61.46109388377709 15.599335439094183),Unknown Point Feature,B__897,Unknown,?
building_map_dom_points.898,POINT (-61.460802584073114 15.5995034256106),Unknown Point Feature,B__898,Unknown,?
building_map_dom_points.899,POINT (-61.46055246636774 15.599481270694074),Unknown Point Feature,B__899,Unknown,?
building_map_dom_points.900,POINT (-61.46046407574144 15.59941490805833),Unknown Point Feature,B__900,Unknown,?
building_map_dom_points.901,POINT (-61.460328601497686 15.599389021873547),Unknown Point Feature,B__901,Unknown,?
building_map_dom_points.902,POINT (-61.46010362088443 15.599446388148243),Unknown Point Feature,B__902,Unknown,?
building_map_dom_points.903,POINT (-61.460040502535946 15.599441411877203),Unknown Point Feature,B__903,Unknown,?
building_map_dom_points.904,POINT (-61.45990338272388 15.599322566212019),Unknown Point Feature,B__904,Unknown,?
building_map_dom_points.905,POINT (-61.46122398013952 15.599141386405654),Unknown Point Feature,B__905,Unknown,?
building_map_dom_points.906,POINT (-61.46123636770079 15.599048525388584),Unknown Point Feature,B__906,Unknown,?
building_map_dom_points.907,POINT (-61.46126087245406 15.598899073745677),Unknown Point Feature,B__907,Unknown,?
building_map_dom_points.908,POINT (-61.461154672860836 15.599025283245988),Unknown Point Feature,B__908,Unknown,?
building_map_dom_points.909,POINT (-61.46072751075244 15.599219522644574),Unknown Point Feature,B__909,Unknown,?
building_map_dom_points.910,POINT (-61.459915596437774 15.598939525936897),Unknown Point Feature,B__910,Unknown,?
building_map_dom_points.911,POINT (-61.459850105468185 15.598939067033074),Unknown Point Feature,B__911,Unknown,?
building_map_dom_points.912,POINT (-61.45978417480028 15.598997547465988),Unknown Point Feature,B__912,Unknown,?
building_map_dom_points.913,POINT (-61.45972568379515 15.598999404593169),Unknown Point Feature,B__913,Unknown,?
building_map_dom_points.914,POINT (-61.459145921189645 15.598641686389048),Unknown Point Feature,B__914,Unknown,?
building_map_dom_points.915,POINT (-61.45884445309573 15.598918415748834),Unknown Point Feature,B__915,Unknown,?
building_map_dom_points.916,POINT (-61.458902402584215 15.598989099570927),Unknown Point Feature,B__916,Unknown,?
building_map_dom_points.917,POINT (-61.4598285137162 15.620522257773118),Unknown Point Feature,B__917,Unknown,?
building_map_dom_points.918,POINT (-61.459642102091124 15.620580458894095),Unknown Point Feature,B__918,Unknown,?
building_map_dom_points.919,POINT (-61.459570452184025 15.62077718620381),Unknown Point Feature,B__919,Unknown,?
building_map_dom_points.920,POINT (-61.45982514770575 15.620972802931156),Unknown Point Feature,B__920,Unknown,?
building_map_dom_points.921,POINT (-61.46000362585042 15.620802328889242),Unknown Point Feature,B__921,Unknown,?
building_map_dom_points.922,POINT (-61.45996074695883 15.62114037973021),Unknown Point Feature,B__922,Unknown,?
building_map_dom_points.923,POINT (-61.45998091409213 15.621728811015254),Unknown Point Feature,B__923,Unknown,?
building_map_dom_points.924,POINT (-61.46376456819061 15.62326918694635),Unknown Point Feature,B__924,Unknown,?
building_map_dom_points.925,POINT (-61.463619129581346 15.623322577313186),Unknown Point Feature,B__925,Unknown,?
building_map_dom_points.926,POINT (-61.46383489754284 15.623249276044913),Unknown Point Feature,B__926,Unknown,?
building_map_dom_points.927,POINT (-61.463883700660254 15.62329269091139),Unknown Point Feature,B__927,Unknown,?
building_map_dom_points.928,POINT (-61.46399263153254 15.623429474221473),Unknown Point Feature,B__928,Unknown,?
building_map_dom_points.929,POINT (-61.464260749583055 15.623551502282158),Unknown Point Feature,B__929,Unknown,?
building_map_dom_points.930,POINT (-61.46416411412408 15.623648307785894),Unknown Point Feature,B__930,Unknown,?
building_map_dom_points.931,POINT (-61.464035556843974 15.62363380606209),Unknown Point Feature,B__931,Unknown,?
building_map_dom_points.932,POINT (-61.46414411636114 15.623820461070945),Unknown Point Feature,B__932,Unknown,?
building_map_dom_points.933,POINT (-61.46419763195788 15.623859374826626),Unknown Point Feature,B__933,Unknown,?
building_map_dom_points.934,POINT (-61.46418943179729 15.62401800857138),Unknown Point Feature,B__934,Unknown,?
building_map_dom_points.935,POINT (-61.4644081392679 15.624178230030747),Unknown Point Feature,B__935,Unknown,?
building_map_dom_points.936,POINT (-61.46448410178767 15.624344253692309),Unknown Point Feature,B__936,Unknown,?
building_map_dom_points.937,POINT (-61.46448653407394 15.624645783870196),Unknown Point Feature,B__937,Unknown,?
building_map_dom_points.938,POINT (-61.46417849508391 15.624543879753404),Unknown Point Feature,B__938,Unknown,?
building_map_dom_points.939,POINT (-61.46417040497913 15.624373796942404),Unknown Point Feature,B__939,Unknown,?
building_map_dom_points.940,POINT (-61.4640756611071 15.624216709821276),Unknown Point Feature,B__940,Unknown,?
building_map_dom_points.941,POINT (-61.46380807373365 15.624337255870456),Unknown Point Feature,B__941,Unknown,?
building_map_dom_points.942,POINT (-61.4637365368377 15.624205268232533),Unknown Point Feature,B__942,Unknown,?
building_map_dom_points.943,POINT (-61.463853161623405 15.624251424860915),Unknown Point Feature,B__943,Unknown,?
building_map_dom_points.944,POINT (-61.463597861825086 15.624292711101292),Unknown Point Feature,B__944,Unknown,?
building_map_dom_points.945,POINT (-61.463469253519236 15.624285009705012),Unknown Point Feature,B__945,Unknown,?
building_map_dom_points.946,POINT (-61.463497578066594 15.624251202772728),Unknown Point Feature,B__946,Unknown,?
building_map_dom_points.947,POINT (-61.46329162230218 15.624263362899123),Unknown Point Feature,B__947,Unknown,?
building_map_dom_points.948,POINT (-61.46338748101831 15.624270835108296),Unknown Point Feature,B__948,Unknown,?
building_map_dom_points.949,POINT (-61.463644098836255 15.624052731128037),Unknown Point Feature,B__949,Unknown,?
building_map_dom_points.950,POINT (-61.46386659811706 15.624018016283697),Unknown Point Feature,B__950,Unknown,?
building_map_dom_points.951,POINT (-61.46350441968546 15.623961072695701),Unknown Point Feature,B__951,Unknown,?
building_map_dom_points.952,POINT (-61.46338331945805 15.623887680382943),Unknown Point Feature,B__952,Unknown,?
building_map_dom_points.953,POINT (-61.4629863232043 15.623794219958642),Unknown Point Feature,B__953,Unknown,?
building_map_dom_points.954,POINT (-61.462848307554005 15.623793253390259),Unknown Point Feature,B__954,Unknown,?
building_map_dom_points.955,POINT (-61.46361232202614 15.623608173631807),Unknown Point Feature,B__955,Unknown,?
building_map_dom_points.956,POINT (-61.4637437591584 15.623550151253815),Unknown Point Feature,B__956,Unknown,?
building_map_dom_points.957,POINT (-61.463395735361246 15.623477437521),Unknown Point Feature,B__957,Unknown,?
building_map_dom_points.958,POINT (-61.46328580773861 15.62347440087305),Unknown Point Feature,B__958,Unknown,?
building_map_dom_points.959,POINT (-61.46305390132063 15.62351585034145),Unknown Point Feature,B__959,Unknown,?
building_map_dom_points.960,POINT (-61.463180321984304 15.623503133485677),Unknown Point Feature,B__960,Unknown,?
building_map_dom_points.961,POINT (-61.462699012362776 15.623422684320316),Unknown Point Feature,B__961,Unknown,?
building_map_dom_points.962,POINT (-61.46256276132078 15.62349880845187),Unknown Point Feature,B__962,Unknown,?
building_map_dom_points.963,POINT (-61.46255817315757 15.623800289260458),Unknown Point Feature,B__963,Unknown,?
building_map_dom_points.964,POINT (-61.4624508721421 15.623758731333043),Unknown Point Feature,B__964,Unknown,?
building_map_dom_points.965,POINT (-61.462152125046266 15.623665957705368),Unknown Point Feature,B__965,Unknown,?
building_map_dom_points.966,POINT (-61.46208857129411 15.623404805752783),Unknown Point Feature,B__966,Unknown,?
building_map_dom_points.967,POINT (-61.46316218270106 15.623425927955575),Unknown Point Feature,B__967,Unknown,?
building_map_dom_points.968,POINT (-61.46380214660707 15.623877010197507),Unknown Point Feature,B__968,Unknown,?
building_map_dom_points.969,POINT (-61.46276551000908 15.624230207340407),Unknown Point Feature,B__969,Unknown,?
building_map_dom_points.970,POINT (-61.4617488228021 15.62347723635086),Unknown Point Feature,B__970,Unknown,?
building_map_dom_points.971,POINT (-61.46192167022659 15.623647812531654),Unknown Point Feature,B__971,Unknown,?
building_map_dom_points.972,POINT (-61.46186243637867 15.623473970851387),Unknown Point Feature,B__972,Unknown,?
building_map_dom_points.973,POINT (-61.46157479671785 15.623577796088362),Unknown Point Feature,B__973,Unknown,?
building_map_dom_points.974,POINT (-61.461550778752326 15.62362225956944),Unknown Point Feature,B__974,Unknown,?
building_map_dom_points.975,POINT (-61.46144661915962 15.62364958373335),Unknown Point Feature,B__975,Unknown,?
building_map_dom_points.976,POINT (-61.46137484844559 15.623568743317584),Unknown Point Feature,B__976,Unknown,?
building_map_dom_points.977,POINT (-61.461380071411675 15.623397903781758),Unknown Point Feature,B__977,Unknown,?
building_map_dom_points.978,POINT (-61.46119734328044 15.62337366923878),Unknown Point Feature,B__978,Unknown,?
building_map_dom_points.979,POINT (-61.4612739561348 15.623334675309403),Unknown Point Feature,B__979,Unknown,?
building_map_dom_points.980,POINT (-61.46093697212045 15.623350165309386),Unknown Point Feature,B__980,Unknown,?
building_map_dom_points.981,POINT (-61.46082058932639 15.623428411264335),Unknown Point Feature,B__981,Unknown,?
building_map_dom_points.982,POINT (-61.46047940056857 15.623478301315092),Unknown Point Feature,B__982,Unknown,?
building_map_dom_points.983,POINT (-61.46068012165175 15.623560046414848),Unknown Point Feature,B__983,Unknown,?
building_map_dom_points.984,POINT (-61.46079310162107 15.623585067464642),Unknown Point Feature,B__984,Unknown,?
building_map_dom_points.985,POINT (-61.4609322076894 15.623635775562128),Unknown Point Feature,B__985,Unknown,?
building_map_dom_points.986,POINT (-61.46108340379583 15.623653413278754),Unknown Point Feature,B__986,Unknown,?
building_map_dom_points.987,POINT (-61.46122955558819 15.623641686041513),Unknown Point Feature,B__987,Unknown,?
building_map_dom_points.988,POINT (-61.46118974971022 15.62386201569968),Unknown Point Feature,B__988,Unknown,?
building_map_dom_points.989,POINT (-61.460745657458475 15.62377091317845),Unknown Point Feature,B__989,Unknown,?
building_map_dom_points.990,POINT (-61.46025742775351 15.623599162895006),Unknown Point Feature,B__990,Unknown,?
building_map_dom_points.991,POINT (-61.459765139724745 15.623970615880088),Unknown Point Feature,B__991,Unknown,?
building_map_dom_points.992,POINT (-61.45972306976224 15.623613266244998),Unknown Point Feature,B__992,Unknown,?
building_map_dom_points.993,POINT (-61.45977746639137 15.623553713850821),Unknown Point Feature,B__993,Unknown,?
building_map_dom_points.994,POINT (-61.45938296712793 15.623517790034699),Unknown Point Feature,B__994,Unknown,?
building_map_dom_points.995,POINT (-61.45920168894967 15.623651688075402),Unknown Point Feature,B__995,Unknown,?
building_map_dom_points.996,POINT (-61.45872979449847 15.623407363147928),Unknown Point Feature,B__996,Unknown,?
building_map_dom_points.997,POINT (-61.46171235354526 15.623917379681481),Unknown Point Feature,B__997,Unknown,?
building_map_dom_points.998,POINT (-61.461467903124195 15.623993878193737),Unknown Point Feature,B__998,Unknown,?
