FID,the_geom,LAYER,BUILDING_M,BUILDING_U,BUILDING_A
building_map_dom_points.60,POINT (-61.447123272841395 15.56375240800558),Unknown Point Feature,B__60,Unknown,?
building_map_dom_points.61,POINT (-61.45834731696626 15.59756923673813),Unknown Point Feature,B__61,Unknown,?
building_map_dom_points.62,POINT (-61.46333884241903 15.61721187554132),Unknown Point Feature,B__62,Unknown,?
building_map_dom_points.63,POINT (-61.463352332659206 15.61728508124101),Unknown Point Feature,B__63,Unknown,?
building_map_dom_points.64,POINT (-61.45739816299849 15.635186644844673),Unknown Point Feature,B__64,Unknown,?
building_map_dom_points.65,POINT (-61.457341880859005 15.634970316518483),Unknown Point Feature,B__65,Unknown,?
building_map_dom_points.66,POINT (-61.45762901712705 15.634584677464085),Unknown Point Feature,B__66,Unknown,?
building_map_dom_points.67,POINT (-61.45813462853015 15.637125014478887),Unknown Point Feature,B__67,Unknown,?
building_map_dom_points.68,POINT (-61.4579808014085 15.637047421426045),Unknown Point Feature,B__68,Unknown,?
building_map_dom_points.69,POINT (-61.45830807200236 15.637394874271997),Unknown Point Feature,B__69,Unknown,?
building_map_dom_points.70,POINT (-61.458270515715235 15.63725518925617),Unknown Point Feature,B__70,Unknown,?
building_map_dom_points.71,POINT (-61.47380037739672 15.583688674542678),Unknown Point Feature,B__71,Unknown,?
building_map_dom_points.72,POINT (-61.4733396345488 15.583579682741094),Unknown Point Feature,B__72,Unknown,?
building_map_dom_points.73,POINT (-61.47326606552177 15.583406877741277),Unknown Point Feature,B__73,Unknown,?
building_map_dom_points.74,POINT (-61.47326116839231 15.583225481186341),Unknown Point Feature,B__74,Unknown,?
building_map_dom_points.75,POINT (-61.47366117186731 15.583113393845911),Unknown Point Feature,B__75,Unknown,?
building_map_dom_points.76,POINT (-61.47214795430601 15.582788528156508),Unknown Point Feature,B__76,Unknown,?
building_map_dom_points.77,POINT (-61.47228581144928 15.582701826963637),Unknown Point Feature,B__77,Unknown,?
building_map_dom_points.78,POINT (-61.471724411802576 15.582710018621773),Unknown Point Feature,B__78,Unknown,?
building_map_dom_points.79,POINT (-61.47163001076862 15.582824225713457),Unknown Point Feature,B__79,Unknown,?
building_map_dom_points.80,POINT (-61.47144907700303 15.582832036777278),Unknown Point Feature,B__80,Unknown,?
building_map_dom_points.81,POINT (-61.47169819073351 15.58288213080948),Unknown Point Feature,B__81,Unknown,?
building_map_dom_points.82,POINT (-61.47154356754208 15.582705739563611),Unknown Point Feature,B__82,Unknown,?
building_map_dom_points.83,POINT (-61.47115128712217 15.583038534306771),Unknown Point Feature,B__83,Unknown,?
building_map_dom_points.84,POINT (-61.472334033661234 15.583772200587248),Unknown Point Feature,B__84,Unknown,?
building_map_dom_points.85,POINT (-61.45240098486363 15.591771441475498),Unknown Point Feature,B__85,Unknown,?
building_map_dom_points.86,POINT (-61.45307621039838 15.591558559709016),Unknown Point Feature,B__86,Unknown,?
building_map_dom_points.87,POINT (-61.45059959615127 15.59240863152928),Unknown Point Feature,B__87,Unknown,?
building_map_dom_points.88,POINT (-61.449427573088094 15.591913718286502),Unknown Point Feature,B__88,Unknown,?
building_map_dom_points.89,POINT (-61.449677370392955 15.591873162183424),Unknown Point Feature,B__89,Unknown,?
building_map_dom_points.90,POINT (-61.45015612159997 15.591244797251004),Unknown Point Feature,B__90,Unknown,?
building_map_dom_points.91,POINT (-61.45021252649218 15.591208922649301),Unknown Point Feature,B__91,Unknown,?
building_map_dom_points.92,POINT (-61.451034923193475 15.591332601906418),Unknown Point Feature,B__92,Unknown,?
building_map_dom_points.93,POINT (-61.451711356775796 15.59054240071017),Unknown Point Feature,B__93,Unknown,?
building_map_dom_points.94,POINT (-61.451636626562326 15.59052676112156),Unknown Point Feature,B__94,Unknown,?
building_map_dom_points.95,POINT (-61.452046552612025 15.59159060838831),Unknown Point Feature,B__95,Unknown,?
building_map_dom_points.96,POINT (-61.45123985178906 15.590359174891788),Unknown Point Feature,B__96,Unknown,?
building_map_dom_points.97,POINT (-61.45010124890181 15.589706314477418),Unknown Point Feature,B__97,Unknown,?
building_map_dom_points.98,POINT (-61.45194957532061 15.589981299303172),Unknown Point Feature,B__98,Unknown,?
building_map_dom_points.99,POINT (-61.45255512830256 15.590187073493746),Unknown Point Feature,B__99,Unknown,?
building_map_dom_points.100,POINT (-61.45301672965332 15.58962608708696),Unknown Point Feature,B__100,Unknown,?
building_map_dom_points.101,POINT (-61.45308844090587 15.589489563226499),Unknown Point Feature,B__101,Unknown,?
building_map_dom_points.102,POINT (-61.45353722839628 15.589528991849095),Unknown Point Feature,B__102,Unknown,?
building_map_dom_points.103,POINT (-61.45378869191949 15.589820937724285),Unknown Point Feature,B__103,Unknown,?
building_map_dom_points.104,POINT (-61.45290380775272 15.589157784374642),Unknown Point Feature,B__104,Unknown,?
building_map_dom_points.105,POINT (-61.45258015205882 15.589066841877992),Unknown Point Feature,B__105,Unknown,?
building_map_dom_points.106,POINT (-61.45366300620545 15.588667313249532),Unknown Point Feature,B__106,Unknown,?
building_map_dom_points.107,POINT (-61.453647778949694 15.588592394747405),Unknown Point Feature,B__107,Unknown,?
building_map_dom_points.108,POINT (-61.453395112418974 15.588131547893413),Unknown Point Feature,B__108,Unknown,?
