finish_id,title,finish_date,calendar_finish_ref,read_instance,is_reread,previous_finish_date,days_since_previous_finish,category,author,total_reading_hours,total_reading_minutes,print_reading_hours,audiobook_hours,audiobook_share,audiobook_wpm_assumed,n_sessions,first_session,last_session,pages,page_source,words_per_page_assumed,estimated_words,observed_total_wpm,audiobook_words_assumed,print_words_after_audiobook_assumption,audio_words_exceed_estimated_words,wpm,wpm_basis,highlighted_words,my_note_words,highlight_count,my_note_count,notes_max_page,notes_title,notes_sources,time_match_methods,word_count_confidence,word_count_confidence_reason,calendar_confidence,calendar_confidence_reason,speed_confidence,high_confidence_speed,high_confidence_first_read,reliable_speed,reliable_first_read,estimated_word_count,highlight_words_per_10k_words,note_words_per_10k_words,highlights_per_100_pages
finish_0046,Coders at Work,2022-06-04,caw,1,False,,,"Business, management",Peter Seibel,9.25,555.0,9.25,0.0,0.0,,11,2022-01-12,2022-06-04,617.0,golden_master_multi_source.csv,275.0,169675.0,305.72072072072075,0.0,169675.0,False,305.72072072072075,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,169675.0,0.0,0.0,0.0
finish_0050,good research code,2022-09-09,good research code,1,False,,,"Business, management",Patrick Mineault,0.5,30.0,0.5,0.0,0.0,,1,2022-09-08,2022-09-08,60.0,golden_master_multi_source.csv,275.0,16500.0,550.0,0.0,16500.0,False,550.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,only one matched session,medium,False,False,True,True,16500.0,0.0,0.0,0.0
finish_0052,the machine that changed the world,2022-09-25,the machine that changed the world,1,False,,,"Business, management",James P. Womack,3.0,180.0,3.0,0.0,0.0,,5,2022-09-11,2022-09-25,352.0,golden_master_multi_source.csv,275.0,96800.0,537.7777777777778,0.0,96800.0,False,537.7777777777778,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,96800.0,0.0,0.0,0.0
finish_0058,The Golden Enclaves,2022-12-06,the golden enclaves,1,False,,,fiction,Naomi Novik,6.25,375.0,6.25,0.0,0.0,,1,2022-12-05,2022-12-05,384.0,golden_master_multi_source.csv,275.0,105600.0,281.6,0.0,105600.0,False,281.6,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,only one matched session,medium,False,False,True,True,105600.0,0.0,0.0,0.0
finish_0064,Never Finished,2023-01-11,nf,1,False,,,General Reading,David Goggins,2.0,120.0,2.0,0.0,0.0,,5,2023-01-03,2023-01-10,312.0,golden_master_multi_source.csv,275.0,85800.0,715.0,0.0,85800.0,False,715.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,high WPM suggests possible missing sessions,medium,False,False,True,True,85800.0,0.0,0.0,0.0
finish_0065,Piccadilly Jim,2023-01-23,pj,1,False,,,Literature,P. G. Wodehouse,4.0,240.0,4.0,0.0,0.0,,4,2023-01-18,2023-01-22,274.0,golden_master_multi_source.csv,275.0,75350.0,313.9583333333333,0.0,75350.0,False,313.9583333333333,pages_over_total_calendar_time,637,0,20,0,281.0,Piccadilly Jim,Notes from _Piccadilly Jim_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,75350.0,84.53881884538819,0.0,7.2992700729927
finish_0067,what do you care what other people think,2023-02-26,wdycwopt,1,False,,,General Reading,Richard P. Feynman,4.0,240.0,4.0,0.0,0.0,,3,2023-02-26,2023-02-26,256.0,golden_master_multi_source.csv,275.0,70400.0,293.3333333333333,0.0,70400.0,False,293.3333333333333,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,70400.0,0.0,0.0,0.0
finish_0068,surely you're joking Feynman,2023-02-28,syjf,1,False,,,General Reading,Richard P. Feynman,5.5,330.0,5.5,0.0,0.0,,4,2023-02-27,2023-02-28,352.0,golden_master_multi_source.csv,275.0,96800.0,293.3333333333333,0.0,96800.0,False,293.3333333333333,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,96800.0,0.0,0.0,0.0
finish_0070,Full Faith and Credit,2023-04-23,ffac,1,False,,,"Business, management",Lewis William Seidman,6.25,375.0,6.25,0.0,0.0,,6,2023-04-16,2023-04-23,300.0,golden_master_multi_source.csv,275.0,82500.0,220.0,0.0,82500.0,False,220.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,82500.0,0.0,0.0,0.0
finish_0073,Starship Troopers,2023-06-20,starship troopers,1,False,,,fiction,Robert A. Heinlein,1.25,75.0,1.25,0.0,0.0,,2,2023-06-11,2023-06-19,233.0,golden_master_multi_source.csv,275.0,64075.0,854.3333333333334,0.0,64075.0,False,854.3333333333334,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,medium,high WPM suggests possible missing sessions,medium,False,False,True,True,64075.0,0.0,0.0,0.0
finish_0074,Stranger in a Strange Land,2023-07-04,siasl,1,False,,,fiction,Robert A. Heinlein,8.75,525.0,8.75,0.0,0.0,,9,2023-07-01,2023-07-04,438.0,golden_master_multi_source.csv,275.0,120450.0,229.42857142857142,0.0,120450.0,False,229.42857142857142,pages_over_total_calendar_time,2371,0,66,0,321.0,Stranger in a Strange Land,Notes from _Stranger in a Strange Land_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,120450.0,196.84516396845163,0.0,15.068493150684931
finish_0076,The Moon is a harsh mistress,2023-07-26,The Moon Is A Harsh Mistress,1,False,,,fiction,Robert A. Heinlein,5.5,330.0,5.5,0.0,0.0,,3,2023-07-25,2023-07-25,360.0,golden_master_multi_source.csv,275.0,99000.0,300.0,0.0,99000.0,False,300.0,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,99000.0,0.0,0.0,0.0
finish_0078,Player of Games,2023-08-16,Player of Games,1,False,,,fiction,Iain M. Banks,3.75,225.0,3.75,0.0,0.0,,4,2023-08-14,2023-08-16,320.0,golden_master_multi_source.csv,275.0,88000.0,391.1111111111111,0.0,88000.0,False,391.1111111111111,pages_over_total_calendar_time,1754,76,50,14,341.0,The Player of Games,Notes from _The Player of Games_.docx,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,88000.0,199.3181818181818,8.636363636363637,15.625
finish_0081,The Sun Also Rises,2023-10-04,the sun also rises,1,False,,,Literature,Ernest Hemingway,3.125,187.5,3.125,0.0,0.0,,7,2023-09-07,2023-10-01,247.0,golden_master_multi_source.csv,275.0,67925.0,362.26666666666665,0.0,67925.0,False,362.26666666666665,pages_over_total_calendar_time,1176,0,28,0,244.0,The Sun Also Rises,Notes from _The Sun Also Rises_.docx,"generic_temporal, ref_to_finished_title",high,metadata page count present and no local contradiction found,medium,some generic temporal calendar matching,medium,False,False,True,True,67925.0,173.13213102686788,0.0,11.336032388663968
