confidence_subset,n_books,median_wpm,mean_wpm,aggregate_wpm,aggregate_full_wall_clock_wpm
high_confidence,90,324.3230769230769,346.84810075991015,313.55568439361195,305.6773199054568
medium_confidence,31,263.06201550387595,309.20300324129624,277.468671679198,275.9596646272377
local_file_high_confidence,90,324.3230769230769,346.84810075991015,313.55568439361195,305.6773199054568
