title,finish_date,pages,total_reading_hours,print_reading_hours,audiobook_hours,wpm,observed_total_wpm,pages_per_hour,time_pages_expected_hours,time_pages_ratio_vs_expected,time_pages_residual_log_hours,time_pages_outlier_direction,page_source,wpm_basis
Dune Messiah,2022-02-18,278.0,3.75,3.75,0.0,339.77777777777777,339.77777777777777,74.13333333333334,3.1196004931061534,1.202076999374418,0.184050893441017,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
the abolition of man,2023-12-23,117.0,1.25,1.25,0.0,429.0,429.0,93.6,1.0575575884833615,1.1819687302254804,0.16718146366398484,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
machine learning engineering,2024-12-12,301.0,2.9166666666666665,2.9166666666666665,0.0,473.0,473.0,103.2,3.445469959083258,0.8465221584583803,-0.1666189011911452,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
the world of null-a,2024-05-04,221.0,2.0,2.0,0.0,506.4583333333333,506.4583333333333,110.5,2.3417522185717434,0.8540613238832837,-0.15775227994576657,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Monday Starts on Saturday,2025-01-27,304.0,3.0,3.0,0.0,464.44444444444446,464.44444444444446,101.33333333333333,3.488445951997196,0.8599817916864808,-0.15084406241630366,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
The Sun Also Rises,2023-10-04,247.0,3.125,3.125,0.0,362.26666666666665,362.26666666666665,79.04,2.6910272753318694,1.1612665648714435,0.14951127573432732,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Apollo: The Race to the Moon,2025-01-01,512.0,7.5,7.5,0.0,312.8888888888889,312.8888888888889,68.26666666666667,6.692835874251561,1.1206012131350378,0.11386533872479321,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Coders at Work,2022-06-04,617.0,9.25,9.25,0.0,305.72072072072075,305.72072072072075,66.70270270270271,8.450316781321725,1.0946335195913444,0.09041962194412978,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
good research code,2022-09-09,60.0,0.5,0.5,0.0,550.0,550.0,120.0,0.4589685406760267,1.089399284891154,0.08562642954272548,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Just for Fun : The Story of an Accidental Revolutionary,2024-07-13,275.0,3.3333333333333335,3.3333333333333335,0.0,378.125,378.125,82.5,3.077579019851658,1.0831024359835943,0.07982954894168448,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
surely you're joking Feynman,2026-04-18,352.0,4.5,0.5,4.0,426.6666666666667,358.51851851851853,78.22222222222223,4.189994805686213,1.073987011605141,0.07137790253602416,slower_than_page_count_predicts,golden_master_multi_source.csv,print_words_after_audiobook_assumption
screwtape letters,2023-05-02,160.0,1.5,1.5,0.0,488.8888888888889,488.8888888888889,106.66666666666667,1.5639083285898594,0.9591355021125285,-0.04172291886352686,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Rainbows End,2022-01-05,384.0,4.5,4.5,0.0,391.1111111111111,391.1111111111111,85.33333333333333,4.671391851841623,0.9633103243578134,-0.03737967157868871,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
IMPRO Improvisation and the Theatre,2024-11-08,208.0,2.25,2.25,0.0,423.7037037037037,423.7037037037037,92.44444444444444,2.170859809333846,1.0364556892738455,0.035806901641086686,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
A Connecticut Yankee in King Arthur’s Court,2024-03-12,397.0,4.75,4.75,0.0,383.0701754385965,383.0701754385965,83.57894736842105,4.869891633737884,0.9753810468990125,-0.0249270670011712,faster_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
Player of Games,2023-08-16,320.0,3.75,3.75,0.0,391.1111111111111,391.1111111111111,85.33333333333333,3.719424866614428,1.008220392797826,0.008186789398774819,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
An Experiment in Criticism,2022-06-02,133.0,1.25,1.25,0.0,487.6666666666667,487.6666666666667,106.4,1.241314982719549,1.0069966264818808,0.006972263663167999,slower_than_page_count_predicts,golden_master_multi_source.csv,pages_over_total_calendar_time
