model,response_column,predictor,n_books,coefficient_wpm_per_log1p_unit,intercept_or_baseline,r_squared,p25_predictor,p75_predictor,estimated_wpm_change_p75_to_p25
unadjusted,wpm_visual_after_audio_350wpm,highlight_count_per_page,77,-16.15348067959132,315.3426915531083,0.0015286583367266626,0.0,0.5411519011457275,6.986867010729385
category_fixed_effects,wpm_visual_after_audio_350wpm,highlight_count_per_page,77,10.411719560448423,310.3837116258462,0.04776834787063089,0.0,0.5411519011457275,-4.503382358563194
unadjusted,wpm_visual_after_audio_350wpm,my_note_words_per_page,77,13.399247180705919,307.6781409702694,0.0029805914968263902,0.0,0.5564516129032258,-5.927942498470483
category_fixed_effects,wpm_visual_after_audio_350wpm,my_note_words_per_page,77,19.103408188488327,303.3527619526522,0.051710554089728133,0.0,0.5564516129032258,-8.451512517004176
