finish_id,title,finish_date,calendar_finish_ref,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,external_word_count_notes,metadata_page_count,metadata_word_estimate,metadata_source,chosen_word_count,word_count_source,word_count_confidence,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local
finish_0022,Arnold Schwarzenegger,2022-05-16,,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Arnold Schwarzenegger, Douglas Kent Hall - Arnold_/Arnold Schwarzenegger, Douglas Kent Hall - Arno.pdf",90.0,Arnold Schwarzenegger,65649.0,66276.0,627.0,pdf_repeated_header_footer_body_pages,,,,,256.0,70400.0,golden_master_multi_source.csv,65649.0,local_file_word_count,high,,,
finish_0023,SQL,2022-05-25,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Learning_SQL Alan_Beaulieu-EN/Learning_SQL Alan_Beaulieu-EN.pdf,82.0,SQL,99534.0,102707.0,3173.0,pdf_repeated_header_footer_body_pages,,,,,,,,99534.0,local_file_word_count,high,,,
finish_0024,An Experiment in Criticism,2022-06-02,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/An Experiment in Criticism/An Experiment in Criticism.epub,100.0,An Experiment in Criticism,36314.0,36731.0,417.0,epub_spine_body_sections,,,,,133.0,36575.0,golden_master_multi_source.csv,36314.0,local_file_word_count,high,,,
finish_0025,Talent,2022-06-03,,,0.0,,,,,,,,,,288.0,79200.0,golden_master_multi_source.csv,79200.0,metadata_pages_x_words_per_page,medium,,,
finish_0026,Coders at Work,2022-06-05,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/Peter Seibel - Coders at Work_ Reflections on the /Peter Seibel - Coders at Work_ Reflections on t.pdf,90.0,Coders at Work,241542.0,242899.0,1357.0,pdf_repeated_header_footer_body_pages,,,,,617.0,169675.0,golden_master_multi_source.csv,241542.0,local_file_word_count,high,,,
finish_0027,Power: Why Some People Have Itand Others Don't,2022-06-20,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Power_ Why Some People Have Itand Others Don_t/Power_ Why Some People Have Itand Others Don_t.epub,100.0,Power_ Why Some People Have Itand Others Don_t.html,82279.0,83777.0,1498.0,epub_spine_body_sections,,,,,,,golden_master_multi_source.csv,82279.0,local_file_word_count,high,,,
finish_0028,wb,2022-08-13,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0029,ML design patterns,2022-08-22,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0030,good research code,2022-09-09,,,0.0,,,,,,,,,,60.0,16500.0,golden_master_multi_source.csv,16500.0,metadata_pages_x_words_per_page,medium,,,
finish_0031,Deep Learning by Goodfellow et all,2022-09-22,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0032,the machine that changed the world,2022-09-26,,,0.0,,,,,,,,,,352.0,96800.0,golden_master_multi_source.csv,96800.0,metadata_pages_x_words_per_page,medium,,,
finish_0033,pragmatic programmer,2022-10-27,,"/Users/clarkbenham/side_projects/data/Books/The Pragmatic Programmer_ From Journeyman to Master-Andrew Hunt, David Thomas - Addison-Wesley Professional (1999).pdf",100.0,"The Pragmatic Programmer_ From Journeyman to Master-Andrew Hunt, David Thomas - Addison-Wesley Professional (1999).pdf",91862.0,92110.0,248.0,pdf_repeated_header_footer_body_pages,,88000.0,https://www.readinglength.com/book/BSC5ung,ReadingLength online-search estimate; rough guess; 20th anniversary edition may differ from the local PDF.,352.0,96800.0,golden_master_multi_source.csv,91862.0,local_file_word_count,high,-3862.0,-0.042041322853845986,0.042041322853845986
finish_0034,The Art of Readable Code,2022-11-30,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Art of Readable Code/The Art of Readable Code.epub,100.0,The Art of Readable Code,42585.0,48727.0,6142.0,epub_spine_body_sections,,,,,206.0,56650.0,golden_master_multi_source.csv,42585.0,local_file_word_count,high,,,
finish_0035,ptaesp,2022-12-03,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0036,the scholomancer,2022-12-04,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0038,The Golden Enclaves,2022-12-06,,,0.0,,,,,,,,,,384.0,105600.0,golden_master_multi_source.csv,105600.0,metadata_pages_x_words_per_page,medium,,,
finish_0037,The Last Graduate,2022-12-06,,,0.0,,,,,,,,,,,,golden_master_multi_source.csv,,,low,,,
finish_0039,The Three-Body Problem,2022-12-26,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Three-Body Problem/The Three-Body Problem.epub,100.0,The Three-Body Problem,122388.0,122389.0,1.0,epub_spine_body_sections,,,,,417.0,114675.0,golden_master_multi_source.csv,122388.0,local_file_word_count,high,,,
finish_0040,tdf,2022-12-27,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/The Discovery of France/The Discovery of France.epub,82.0,tdf,170399.0,170829.0,430.0,epub_spine_body_sections,,,,,,,,170399.0,local_file_word_count,high,,,
finish_0041,deaths end,2023-01-01,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Death_s End (The Three-Body Problem)/Death_s End (The Three-Body Problem).epub,100.0,Death_s End (The Three-Body Problem).html,229157.0,230177.0,1020.0,epub_spine_body_sections,,,,,,,,229157.0,local_file_word_count,high,,,
finish_0042,hswyltbakoib,2023-01-11,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0043,Never Finished,2023-01-12,,,0.0,,,,,,,,,,312.0,85800.0,golden_master_multi_source.csv,85800.0,metadata_pages_x_words_per_page,medium,,,
finish_0044,Piccadilly Jim,2023-01-24,,,0.0,,,,,,,,,,274.0,75350.0,golden_master_multi_source.csv,75350.0,metadata_pages_x_words_per_page,medium,,,
finish_0045,The Red Badge of Courage,2023-02-07,,,0.0,,,,,,,,,,,,golden_master_multi_source.csv,,,low,,,
finish_0046,wdycwopt,2023-02-27,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/What Do You Care What Other People Think __ Furthe/What Do You Care What Other People Think __ Fur.pdf,82.0,wdycwopt,0.0,0.0,0.0,pdf_raw_text_fallback,no_text_extracted,,,,,,,,,low,,,
finish_0047,surely you’re joking Feynman,2023-03-01,,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/ _Surely You_re Joking, Mr. Feynman!__ Adventure/ _Surely You_re Joking, Mr. Feynman!__ Advent.pdf",85.0,surely you’re joking Feynman,126883.0,127231.0,348.0,pdf_repeated_header_footer_body_pages,,,,,352.0,96800.0,golden_master_multi_source.csv,126883.0,local_file_word_count,high,,,
finish_0048,tltf,2023-04-09,,,0.0,,,,,,,,,,,,,,,low,,,
finish_0049,Full Faith and Credit,2023-04-24,,,0.0,,,,,,,,,,300.0,82500.0,golden_master_multi_source.csv,82500.0,metadata_pages_x_words_per_page,medium,,,
finish_0050,screwtape letters,2023-05-03,,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Screwtape Letters/The Screwtape Letters.epub,100.0,The Screwtape Letters.html,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,ReadingLength online-search estimate; rough guess.,160.0,44000.0,golden_master_multi_source.csv,31129.0,local_file_word_count,high,8871.0,0.2849754248449998,0.2849754248449998
finish_0051,autobiography of ben franklin,2023-05-20,,,0.0,,,,,,,,,,,,,,,low,,,
