finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish
finish_0023,SQL,2022-05-25,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,1,2022-05-25,2022-05-25,30.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0024,An Experiment in Criticism,2022-06-02,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2022-06-01,2022-06-02,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0025,Talent,2022-06-03,285.0,285.0,285.0,255.0,255.0,255.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2022-05-21,2022-06-03,285.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0026,Coders at Work,2022-06-05,645.0,645.0,645.0,555.0,555.0,555.0,0.0,0.0,0.0,90.0,90.0,90.0,12,2022-01-13,2022-06-05,645.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0027,Power: Why Some People Have Itand Others Don't,2022-06-20,345.0,345.0,345.0,270.0,270.0,270.0,0.0,0.0,0.0,75.0,75.0,75.0,7,2022-06-05,2022-06-20,345.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0028,wb,2022-08-13,195.0,195.0,195.0,180.0,180.0,180.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2022-07-30,2022-08-13,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0029,ML design patterns,2022-08-22,1140.0,1170.0,1170.0,1110.0,1140.0,1140.0,0.0,0.0,0.0,30.0,30.0,30.0,34,2022-05-25,2022-08-24,1170.0,calendar_analysis_duration_with_compatible_overlap_restored,30.0,30.0,1,False,,
finish_0030,good research code,2022-09-09,75.0,75.0,75.0,30.0,30.0,30.0,0.0,0.0,0.0,45.0,45.0,45.0,2,2022-09-08,2022-09-09,75.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0031,Deep Learning by Goodfellow et all,2022-09-22,15.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,30.0,30.0,1,2022-09-22,2022-09-22,30.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0032,the machine that changed the world,2022-09-26,195.0,195.0,195.0,180.0,180.0,180.0,0.0,0.0,0.0,15.0,15.0,15.0,6,2022-09-12,2022-09-26,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0033,pragmatic programmer,2022-10-27,255.0,255.0,255.0,225.0,225.0,225.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2022-05-23,2022-10-27,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0034,The Art of Readable Code,2022-11-30,75.0,75.0,75.0,60.0,60.0,60.0,0.0,0.0,0.0,15.0,15.0,15.0,3,2022-11-15,2022-11-30,75.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0035,ptaesp,2022-12-03,87.50000000000001,165.0,102.50000000000001,72.50000000000001,150.0,87.50000000000001,0.0,0.0,0.0,15.0,15.0,15.0,3,2022-12-02,2022-12-03,102.50000000000001,calendar_analysis_duration_with_compatible_overlap_restored,77.49999999999999,15.0,1,False,,
finish_0036,the scholomancer,2022-12-04,345.0,345.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,345.0,345.0,1,2022-12-04,2022-12-04,345.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0037,The Last Graduate,2022-12-06,375.0,375.0,375.0,225.0,225.0,225.0,0.0,0.0,0.0,150.0,150.0,150.0,3,2022-12-05,2022-12-06,375.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0038,The Golden Enclaves,2022-12-06,457.5,465.0,465.0,375.0,375.0,375.0,0.0,0.0,0.0,82.5,90.0,90.0,2,2022-12-06,2022-12-06,465.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0039,The Three-Body Problem,2022-12-26,255.0,315.0,255.0,225.0,285.0,225.0,0.0,0.0,0.0,30.0,30.0,30.0,5,2022-12-24,2022-12-26,255.0,calendar_analysis_duration_with_compatible_overlap_restored,60.0,0.0,1,False,,
finish_0040,tdf,2022-12-27,555.0,555.0,555.0,465.0,465.0,465.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2022-12-26,2022-12-27,555.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0041,deaths end,2023-01-01,472.5,555.0,555.0,397.5,450.0,450.0,0.0,0.0,0.0,75.0,105.0,105.0,5,2022-12-29,2023-01-01,555.0,calendar_analysis_duration_with_compatible_overlap_restored,82.5,82.5,1,False,,
finish_0042,hswyltbakoib,2023-01-11,150.0,150.0,150.0,45.0,45.0,45.0,0.0,0.0,0.0,105.0,105.0,105.0,2,2022-12-21,2023-01-11,150.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0043,Never Finished,2023-01-12,247.5,285.0,285.0,232.5,270.0,270.0,0.0,0.0,0.0,15.0,15.0,15.0,7,2023-01-04,2023-01-12,285.0,calendar_analysis_duration_with_compatible_overlap_restored,37.5,37.5,1,False,,
finish_0044,Piccadilly Jim,2023-01-24,315.0,315.0,315.0,240.0,240.0,240.0,0.0,0.0,0.0,75.0,75.0,75.0,5,2023-01-19,2023-01-24,315.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0045,The Red Badge of Courage,2023-02-07,195.0,195.0,195.0,120.0,120.0,120.0,0.0,0.0,0.0,75.0,75.0,75.0,4,2023-01-31,2023-02-07,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0046,wdycwopt,2023-02-27,247.5,255.0,255.0,232.5,240.0,240.0,0.0,0.0,0.0,15.0,15.0,15.0,4,2023-02-26,2023-02-27,255.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0047,surely you’re joking Feynman,2023-03-01,368.0,375.0,375.0,323.0,330.0,330.0,0.0,0.0,0.0,45.0,45.0,45.0,5,2023-02-28,2023-03-01,375.0,calendar_analysis_duration_with_compatible_overlap_restored,7.0,7.0,1,False,,
finish_0048,tltf,2023-04-09,255.0,255.0,255.0,240.0,240.0,240.0,0.0,0.0,0.0,15.0,15.0,15.0,5,2023-03-26,2023-04-09,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0049,Full Faith and Credit,2023-04-24,450.0,450.0,450.0,375.0,375.0,375.0,0.0,0.0,0.0,75.0,75.0,75.0,7,2023-04-16,2023-04-24,450.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0050,screwtape letters,2023-05-03,120.0,120.0,120.0,90.0,90.0,90.0,0.0,0.0,0.0,30.0,30.0,30.0,4,2023-05-01,2023-05-03,120.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,2,True,2022-05-14,354.0
finish_0051,autobiography of ben franklin,2023-05-20,165.0,165.0,165.0,105.0,105.0,105.0,0.0,0.0,0.0,60.0,60.0,60.0,4,2023-05-18,2023-05-20,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,2,True,2022-04-21,394.0
finish_0052,starship troopers,2023-06-20,174.99999999999997,285.0,174.99999999999997,75.0,75.0,75.0,0.0,0.0,0.0,99.99999999999997,210.0,99.99999999999997,3,2023-06-12,2023-06-20,174.99999999999997,calendar_analysis_duration_with_compatible_overlap_restored,110.00000000000003,0.0,1,False,,
finish_0053,Stranger in a Strange Land,2023-07-05,592.5,675.0,600.0,442.5,525.0,450.0,0.0,0.0,0.0,150.0,150.0,150.0,10,2023-07-02,2023-07-05,600.0,calendar_analysis_duration_with_compatible_overlap_restored,82.5,7.5,1,False,,
finish_0054,Bone,2023-07-14,240.0,240.0,240.0,210.0,210.0,210.0,0.0,0.0,0.0,30.0,30.0,30.0,4,2023-07-13,2023-07-14,240.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0055,The Moon Is A Harsh Mistress,2023-07-26,435.0,435.0,435.0,330.0,330.0,330.0,0.0,0.0,0.0,105.0,105.0,105.0,4,2023-07-25,2023-07-26,435.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0056,Essays to Do Good,2023-08-05,150.0,165.0,165.0,105.0,105.0,105.0,0.0,0.0,0.0,45.0,60.0,60.0,6,2023-06-09,2023-08-05,165.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0057,Player of Games,2023-08-17,420.0,420.0,420.0,225.0,225.0,225.0,0.0,0.0,0.0,195.0,195.0,195.0,5,2023-08-14,2023-08-17,420.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0058,King Solomons Mines,2023-08-23,367.5,375.0,375.0,202.5,210.0,210.0,0.0,0.0,0.0,165.0,165.0,165.0,3,2021-11-08,2023-08-23,375.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0059,The Peace War,2023-08-29,240.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,255.0,255.0,1,2023-08-29,2023-08-29,255.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0060,The Sun Also Rises,2023-10-04,225.0,225.0,225.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,60.0,60.0,6,2023-09-24,2023-10-04,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0061,Harry Potter and the Methods of Rationality,2023-10-25,1575.0,1590.0,1590.0,1185.0,1200.0,1200.0,0.0,0.0,0.0,390.0,390.0,390.0,9,2023-10-22,2023-10-25,1590.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0062,Three Men in a Boat,2023-11-09,285.0,285.0,285.0,180.0,180.0,180.0,0.0,0.0,0.0,105.0,105.0,105.0,5,2023-11-08,2023-11-09,285.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0063,out of the silent planet,2023-12-05,225.0,225.0,225.0,165.0,165.0,165.0,0.0,0.0,0.0,60.0,60.0,60.0,4,2023-11-30,2023-12-05,225.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0064,Perelandra by CS Lewis book 2.pdf,2023-12-10,315.0,315.0,315.0,225.0,225.0,225.0,0.0,0.0,0.0,90.0,90.0,90.0,8,2023-12-05,2023-12-10,315.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0065,that hideous strength,2023-12-14,380.0,480.0,395.0,365.0,465.0,380.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2023-12-11,2023-12-14,395.0,calendar_analysis_duration_with_compatible_overlap_restored,100.0,15.0,1,False,,
finish_0066,The Screwtape Letters,2023-12-22,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,1,2023-12-22,2023-12-22,120.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0067,the abolition of man,2023-12-23,127.5,180.0,180.0,75.0,75.0,75.0,0.0,0.0,0.0,52.5,105.0,105.0,3,2022-06-02,2023-12-25,180.0,calendar_analysis_duration_with_compatible_overlap_restored,52.5,52.5,1,False,,
finish_0068,The Man Who Was Thursday,2024-01-20,255.0,255.0,255.0,165.0,165.0,165.0,0.0,0.0,0.0,90.0,90.0,90.0,5,2024-01-18,2024-01-20,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0069,digital minamalism,2024-01-21,112.5,120.0,120.0,82.5,90.0,90.0,0.0,0.0,0.0,30.0,30.0,30.0,5,2023-11-11,2024-01-21,120.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0070,ewtca,2024-02-19,292.5,300.0,300.0,232.5,240.0,240.0,0.0,0.0,0.0,60.0,60.0,60.0,11,2023-11-12,2024-02-19,300.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0071,how to win friends and influence people,2024-02-24,292.5,315.0,315.0,262.5,285.0,285.0,0.0,0.0,0.0,30.0,30.0,30.0,10,2023-08-27,2024-02-24,315.0,calendar_analysis_duration_with_compatible_overlap_restored,22.5,22.5,1,False,,
finish_0072,Tremendous Trifles,2024-03-01,60.0,60.0,60.0,30.0,30.0,30.0,0.0,0.0,0.0,30.0,30.0,30.0,3,2024-01-31,2024-03-01,60.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0073,Jude the Obscure,2024-03-08,487.5,570.0,570.0,457.5,510.0,510.0,0.0,0.0,0.0,30.0,60.0,60.0,8,2024-03-04,2024-03-08,570.0,calendar_analysis_duration_with_compatible_overlap_restored,82.5,82.5,1,False,,
finish_0074,A Connecticut Yankee in King Arthur’s Court,2024-03-12,345.0,345.0,345.0,285.0,285.0,285.0,0.0,0.0,0.0,60.0,60.0,60.0,6,2022-10-27,2024-03-12,345.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0075,The Checklist Manifesto,2024-03-19,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,1,2024-03-19,2024-03-19,105.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0076,the persuit of the well beloved,2024-03-27,240.0,240.0,240.0,90.0,90.0,90.0,0.0,0.0,0.0,150.0,150.0,150.0,2,2024-03-26,2024-03-27,240.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0077,knudson,2024-04-10,195.0,195.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,195.0,195.0,1,2024-04-10,2024-04-10,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0078,Marooned in Real Time,2024-05-03,270.0,270.0,270.0,210.0,210.0,210.0,0.0,0.0,0.0,60.0,60.0,60.0,2,2024-05-02,2024-05-03,270.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0079,the world of null a,2024-05-05,195.0,195.0,195.0,120.0,120.0,120.0,0.0,0.0,0.0,75.0,75.0,75.0,4,2024-05-04,2024-05-05,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0080,16 ways to defend a walled city,2024-05-12,285.0,285.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,285.0,285.0,1,2024-05-12,2024-05-12,285.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0081,Methuselah's Children,2024-05-15,165.0,165.0,165.0,120.0,120.0,120.0,0.0,0.0,0.0,45.0,45.0,45.0,2,2024-05-15,2024-05-15,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
finish_0082,move: the dark knight,2024-05-17,67.5,75.0,75.0,15.0,15.0,15.0,0.0,0.0,0.0,52.5,60.0,60.0,2,2023-01-06,2024-05-17,75.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,
finish_0083,consider phlebas,2024-06-04,529.9999999999999,555.0,555.0,484.99999999999994,510.0,510.0,0.0,0.0,0.0,45.0,45.0,45.0,12,2024-05-17,2024-06-04,555.0,calendar_analysis_duration_with_compatible_overlap_restored,25.000000000000114,25.000000000000114,1,False,,
finish_0084,50 essays by george orwell,2024-06-19,907.5,975.0,915.0,802.5,870.0,810.0,0.0,0.0,0.0,105.0,105.0,105.0,20,2024-06-09,2024-06-19,915.0,calendar_analysis_duration_with_compatible_overlap_restored,67.5,7.5,1,False,,
finish_0085,Jeeves Stories,2024-06-30,517.5,532.5,532.5,457.5,472.5,472.5,0.0,0.0,0.0,60.0,60.0,60.0,15,2024-03-30,2024-06-30,532.5,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0086,Just for Fun : The Story of an Accidental Revolutionary,2024-07-14,180.0,195.0,195.0,157.5,165.0,165.0,0.0,0.0,0.0,22.5,30.0,30.0,4,2024-07-01,2024-07-14,195.0,calendar_analysis_duration_with_compatible_overlap_restored,15.0,15.0,1,False,,
finish_0087,Stalky & Co,2024-07-30,255.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,255.0,255.0,1,2024-07-30,2024-07-30,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,
