finish_id,title,matched_finish_date,first_pass_raw_minutes,first_pass_busy_adjusted_minutes,first_pass_adjusted_minutes,reading_raw_minutes,reading_busy_adjusted_minutes,reading_adjusted_minutes,audiobook_raw_minutes,audiobook_busy_adjusted_minutes,audiobook_adjusted_minutes,finished_raw_minutes,finished_busy_adjusted_minutes,finished_adjusted_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,busy_overlap_delta_minutes,strict_overlap_delta_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_error,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_raw,wpm_first_pass_busy_adjusted,wpm_first_pass_strict_adjusted,wpm_reading_only_raw,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_screened_speed,speed_screen_exclusion_reason
finish_0058,the golden enclaves,2022-12-06,465.0,450.0,450.0,375.0,367.5,367.5,0.0,0.0,0.0,90.0,82.5,82.5,2,2022-12-05,2022-12-06,465.0,raw_calendar_duration_sum,15.0,15.0,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,,384.0,105600.0,fiction,0,0,0,227.09677419354838,227.09677419354838,234.66666666666666,234.66666666666666,281.6,0.0,2022,True,False,True,
finish_0064,nf,2023-01-11,135.0,105.0,95.0,120.0,90.0,80.0,0.0,0.0,0.0,15.0,15.0,15.0,6,2023-01-03,2023-01-11,135.0,raw_calendar_duration_sum,30.0,40.0,1,False,,,85800.0,metadata_pages_x_words_per_page,medium,,,312.0,85800.0,General Reading,0,0,0,635.5555555555555,635.5555555555555,817.1428571428571,903.1578947368421,715.0,0.0,2023,True,False,True,
finish_0065,Piccadilly Jim,2023-01-23,315.0,292.5,292.5,240.0,232.5,232.5,0.0,0.0,0.0,75.0,60.0,60.0,5,2023-01-18,2023-01-23,315.0,raw_calendar_duration_sum,22.5,22.5,1,False,,,75350.0,metadata_pages_x_words_per_page,medium,,,274.0,75350.0,Literature,637,20,0,239.20634920634922,239.20634920634922,257.6068376068376,257.6068376068376,313.9583333333333,84.53881884538819,2023,True,False,True,
finish_0067,what do you care what other people think,2023-02-26,255.0,217.5,217.5,240.0,210.0,210.0,0.0,0.0,0.0,15.0,7.5,7.5,4,2023-02-26,2023-02-26,255.0,raw_calendar_duration_sum,37.5,37.5,1,False,,,70400.0,metadata_pages_x_words_per_page,medium,,,256.0,70400.0,General Reading,0,0,0,276.078431372549,276.078431372549,323.67816091954023,323.67816091954023,293.3333333333333,0.0,2023,True,False,True,
finish_0068,surely you're joking Feynman,2023-02-28,375.0,322.5,320.1666666666667,330.0,285.0,282.6666666666667,0.0,0.0,0.0,45.0,37.5,37.5,5,2023-02-27,2023-02-28,375.0,raw_calendar_duration_sum,52.5,54.833333333333314,1,False,,,96800.0,metadata_pages_x_words_per_page,medium,,,352.0,96800.0,General Reading,0,0,0,258.1333333333333,258.1333333333333,300.15503875968994,302.3425299323269,293.3333333333333,0.0,2023,True,False,True,
finish_0070,Full faith and credit,2023-04-23,450.0,352.5,352.5,375.0,307.5,307.5,0.0,0.0,0.0,75.0,45.0,45.0,7,2023-04-16,2023-04-23,450.0,raw_calendar_duration_sum,97.5,97.5,1,False,,,82500.0,metadata_pages_x_words_per_page,medium,,,300.0,82500.0,"Business, management",0,0,0,183.33333333333334,183.33333333333334,234.04255319148936,234.04255319148936,220.0,0.0,2023,True,False,True,
finish_0073,Starship Troopers,2023-06-20,285.0,180.0,141.25,75.0,75.0,75.0,0.0,0.0,0.0,210.0,105.0,66.25,3,2023-06-11,2023-06-20,285.0,raw_calendar_duration_sum,105.0,143.75,1,False,,,64075.0,metadata_pages_x_words_per_page,medium,,,233.0,64075.0,fiction,0,0,0,224.82456140350877,224.82456140350877,355.97222222222223,453.62831858407077,854.3333333333334,0.0,2023,True,False,True,
finish_0074,stranger in a strange land,2023-07-04,675.0,547.5,517.5,525.0,405.0,375.0,0.0,0.0,0.0,150.0,142.5,142.5,10,2023-07-01,2023-07-04,675.0,raw_calendar_duration_sum,127.5,157.5,1,False,,,120450.0,metadata_pages_x_words_per_page,medium,,,438.0,120450.0,fiction,2371,66,0,178.44444444444446,178.44444444444446,220.0,232.7536231884058,229.42857142857142,196.84516396845163,2023,True,False,True,
finish_0076,The Moon is a harsh mistress,2023-07-26,435.0,420.0,420.0,330.0,315.0,315.0,0.0,0.0,0.0,105.0,105.0,105.0,4,2023-07-25,2023-07-26,435.0,raw_calendar_duration_sum,15.0,15.0,1,False,,,99000.0,metadata_pages_x_words_per_page,medium,,,360.0,99000.0,fiction,0,0,0,227.58620689655172,227.58620689655172,235.71428571428572,235.71428571428572,300.0,0.0,2023,True,False,True,
finish_0078,Player of Games,2023-08-16,420.0,420.0,420.0,225.0,225.0,225.0,0.0,0.0,0.0,195.0,195.0,195.0,5,2023-08-14,2023-08-16,420.0,raw_calendar_duration_sum,0.0,0.0,1,False,,,88000.0,metadata_pages_x_words_per_page,medium,,,320.0,88000.0,fiction,1754,50,76,209.52380952380952,209.52380952380952,209.52380952380952,209.52380952380952,391.1111111111111,199.3181818181818,2023,True,False,True,
