finish_id,title,finish_date,calendar_finish_ref,read_instance,is_reread,previous_finish_date,days_since_previous_finish,category,author,total_reading_hours,total_reading_minutes,print_reading_hours,audiobook_hours,audiobook_share,audiobook_wpm_assumed,n_sessions,first_session,last_session,pages,page_source,words_per_page_assumed,estimated_words,observed_total_wpm,audiobook_words_assumed,print_words_after_audiobook_assumption,audio_words_exceed_estimated_words,wpm,wpm_basis,highlighted_words,my_note_words,highlight_count,my_note_count,notes_max_page,notes_title,notes_sources,time_match_methods,word_count_confidence,word_count_confidence_reason,calendar_confidence,calendar_confidence_reason,speed_confidence,high_confidence_speed,high_confidence_first_read,reliable_speed,reliable_first_read,estimated_word_count,highlight_words_per_10k_words,note_words_per_10k_words,highlights_per_100_pages
finish_0017,Radiance_ A Novel � Gwern.net.pdf,2021-03-07,Radiance,1,False,,,fiction,Carter Scholz,10.0,600.0,10.0,0.0,0.0,,6,2021-03-01,2021-03-07,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",low,missing page/word-count metadata,medium,some generic temporal calendar matching,low,False,False,False,False,,,,
finish_0018,Liftoff,2021-04-15,Liftoff,1,False,,,"Business, management",Eric Berger,11.25,675.0,11.25,0.0,0.0,,17,2021-03-16,2021-04-15,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",low,missing page/word-count metadata,medium,some generic temporal calendar matching,low,False,False,False,False,,,,
finish_0019,Evidence-based Software Engineering.pdf,2021-04-16,EBSE,1,False,,,Computer Science,Derek M. Jones,,,,,,,0,,,433.0,golden_master_multi_source.csv,275.0,,,,,False,,missing_pages_or_time,0,0,0,0,,,,,high,metadata page count present and no local contradiction found,low,no matched calendar reading time,low,False,False,False,False,,,,0.0
finish_0020,SWD,2021-04-25,SWD,1,False,,,,,1.0,60.0,1.0,0.0,0.0,,2,2021-04-20,2021-04-21,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,generic_temporal,low,missing page/word-count metadata,low,only generic temporal calendar matching,low,False,False,False,False,,,,
finish_0021,The Inner game of tennis,2021-10-17,The Inner game of tennis,1,False,,,General Reading,W. Timothy Gallwey,1.0,60.0,1.0,0.0,0.0,,2,2021-09-02,2021-09-04,141.0,golden_master_multi_source.csv,275.0,38775.0,646.25,0.0,38775.0,False,646.25,pages_over_total_calendar_time,0,0,0,0,,,,generic_temporal,high,metadata page count present and no local contradiction found,low,only generic temporal calendar matching,low,False,False,False,False,38775.0,0.0,0.0,0.0
finish_0022,Open,2021-10-23,Open,1,False,,,,,4.5,270.0,4.5,0.0,0.0,,1,2021-10-21,2021-10-21,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,ref_to_finished_title,low,missing page/word-count metadata,medium,only one matched session,low,False,False,False,False,,,,
finish_0023,Notes from Underground,2021-11-30,NFU,1,False,,,Literature,Fyodor Dostoevsky,2.25,135.0,2.25,0.0,0.0,,4,2021-11-27,2021-11-30,132.0,golden_master_multi_source.csv,275.0,36300.0,268.8888888888889,0.0,36300.0,False,268.8888888888889,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,36300.0,0.0,0.0,0.0
finish_0024,jsgbp,2021-12-31,jsgbp,1,False,,,,,3.0,180.0,3.0,0.0,0.0,,7,2021-12-08,2021-12-31,,,,,,,,False,,missing_pages_or_time,0,0,0,0,,,,"generic_temporal, ref_to_finished_title",low,missing page/word-count metadata,medium,some generic temporal calendar matching,low,False,False,False,False,,,,
finish_0025,bobby-fischer-teaches-chess.pdf,2022-01-01,bftc,1,False,,,General Reading,Bobby Fischer,1.25,75.0,1.25,0.0,0.0,,2,2021-12-21,2021-12-23,334.0,golden_master_multi_source.csv,275.0,91850.0,1224.6666666666667,0.0,91850.0,False,1224.6666666666667,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,low,"manual audit: chess workbook pages are sparse, so pages*words/page is weak",low,implausibly high WPM suggests missing sessions,low,False,False,False,False,91850.0,0.0,0.0,0.0
finish_0026,Supplying War,2022-01-03,sw,1,False,,,"Business, management",Martin van Creveld,6.0,360.0,6.0,0.0,0.0,,7,2021-11-08,2022-01-02,284.0,golden_master_multi_source.csv,275.0,78100.0,216.94444444444446,0.0,78100.0,False,216.94444444444446,pages_over_total_calendar_time,0,0,0,0,,,,ref_to_finished_title,high,metadata page count present and no local contradiction found,high,specific calendar matches and plausible speed,high,True,True,True,True,78100.0,0.0,0.0,0.0
