finish_year,n_books,median_wpm,mean_wpm
2022,5,258.46666666666664,248.4006487335977
2023,8,275.52408319649703,279.94189375633
2024,18,333.7744633948254,357.86384628906376
2025,36,321.94638694638695,346.9920778589916
2026,18,299.8238165863305,314.7417559903299
