category_plot,n_books,median_visual_wpm,mean_visual_wpm
"Business, management",25,320.4111111111111,334.68770574458125
fiction,24,323.52941176470586,331.7948087368181
General Reading,17,324.5948717948718,345.2483447475095
Literature,17,239.20634920634922,229.70724640562506
Histories,14,312.4099960175229,313.6961332555074
Unknown,12,334.7550684779287,307.18152203367276
Machine Learning,2,253.30636466707895,253.30636466707895
Computer Science,1,308.55238095238093,308.55238095238093
