finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason,estimated_pages_for_density,highlight_count_per_page,my_note_words_per_page
finish_0064,Perelandra by CS Lewis book 2.pdf,2023-12-10,315.0,315.0,315.0,225.0,225.0,225.0,0.0,0.0,0.0,90.0,90.0,90.0,8,2023-12-05,2023-12-10,315.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,86344.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/Perelandra by CS Lewis book 2.pdf,100.0,86344.0,87422.0,1078.0,pdf_repeated_header_footer_body_pages,,,,223.0,61325.0,,,,fiction,0.0,0.0,0.0,274.10793650793653,274.10793650793653,274.10793650793653,0.0,315.0,0.0,0.0,86344.0,274.10793650793653,False,383.75111111111113,0.0,2023,True,True,True,True,True,,223.0,0.0,0.0
finish_0065,that hideous strength,2023-12-14,380.0,480.0,480.0,365.0,465.0,465.0,0.0,0.0,0.0,15.0,15.0,15.0,9,2023-12-11,2023-12-14,480.0,calendar_analysis_duration_with_gt15m_overlap_restored,100.0,100.0,1,False,,,159372.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/That Hideous Strength by CS Lewis.pdf,90.0,159372.0,161007.0,1635.0,pdf_repeated_header_footer_body_pages,,,,382.0,105050.0,,,,fiction,0.0,0.0,0.0,332.025,332.025,332.025,0.0,480.0,0.0,0.0,159372.0,332.025,False,436.6356164383562,0.0,2023,True,True,True,True,True,,382.0,0.0,0.0
finish_0066,The Screwtape Letters,2023-12-22,120.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,120.0,1,2023-12-22,2023-12-22,120.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,31129.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,90.0,31129.0,31324.0,195.0,epub_spine_body_sections,,40000.0,https://www.readinglength.com/work/WPCt7r2,160.0,44000.0,8871.0,0.2849754248449998,0.2849754248449998,Literature,6402.0,130.0,0.0,259.40833333333336,259.40833333333336,259.40833333333336,0.0,120.0,0.0,0.0,31129.0,259.40833333333336,False,inf,2056.6031674644223,2023,True,True,True,True,True,,160.0,0.8125,0.0
finish_0071,how to win friends and influence people,2024-02-24,292.5,315.0,307.5,262.5,285.0,277.5,0.0,0.0,0.0,30.0,30.0,30.0,10,2023-08-27,2024-02-24,307.5,calendar_analysis_duration_with_gt15m_overlap_restored,22.5,15.0,1,False,,,80456.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/How to Win Friends and Influence People -- Carnegie, Dale -- 2009 -- Simon and Schuster.epub",90.0,80456.0,80457.0,1.0,epub_spine_body_sections,,72000.0,https://www.readinglength.com/book/B13Et31,276.0,75900.0,-8456.0,-0.1051009247290444,0.1051009247290444,"Business, management",0.0,0.0,0.0,261.64552845528453,255.41587301587302,255.41587301587302,0.0,307.5,0.0,0.0,80456.0,261.64552845528453,False,306.49904761904764,0.0,2024,True,True,True,True,True,,276.0,0.0,0.0
finish_0075,The Checklist Manifesto,2024-03-19,105.0,105.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,105.0,105.0,1,2024-03-19,2024-03-19,105.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,56909.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/The Checklist Manifesto- How to Get Things Right - Gawande, Atul.epub",90.0,56909.0,58116.0,1207.0,epub_spine_body_sections,,60000.0,https://www.readinglength.com/work/WmSu2Qp,209.0,57475.0,3091.0,0.0543147832504524,0.0543147832504524,"Business, management",6154.0,104.0,4.0,541.9904761904762,541.9904761904762,541.9904761904762,0.0,105.0,0.0,0.0,56909.0,541.9904761904762,False,inf,1081.3755293538807,2024,True,True,True,True,True,,209.0,0.49760765550239233,0.019138755980861243
finish_0081,Methuselah's Children,2024-05-15,165.0,165.0,165.0,120.0,120.0,120.0,0.0,0.0,0.0,45.0,45.0,45.0,2,2024-05-15,2024-05-15,165.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,67250.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Methuselah's Children - Heinlein, Robert Anson.epub",90.0,67250.0,67250.0,0.0,epub_spine_body_sections,,,,,,,,,,0.0,0.0,0.0,407.57575757575756,407.57575757575756,407.57575757575756,0.0,165.0,0.0,0.0,67250.0,407.57575757575756,False,560.4166666666666,0.0,2024,True,True,True,True,True,,244.54545454545453,0.0,0.0
finish_0084,50 essays by george orwell,2024-06-19,907.5,975.0,967.5,802.5,870.0,862.5,0.0,0.0,0.0,105.0,105.0,105.0,20,2024-06-09,2024-06-19,967.5,calendar_analysis_duration_with_gt15m_overlap_restored,67.5,60.0,1,False,,,232021.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/ 50 Essays by George Orwell.lit,100.0,232021.0,232021.0,0.0,lit_raw_text,no_section_level_body_filter_available,,,346.0,95150.0,,,,Literature,20023.0,298.0,86.0,239.81498708010335,237.9702564102564,237.9702564102564,0.0,967.5,0.0,0.0,232021.0,239.81498708010335,False,289.1227414330218,862.9822300567622,2024,True,True,True,True,True,,346.0,0.861271676300578,0.24855491329479767
finish_0088,what is man and other essays,2024-08-07,75.0,75.0,75.0,60.0,60.0,60.0,0.0,0.0,0.0,15.0,15.0,15.0,2,2024-08-07,2024-08-07,75.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,101021.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/What is Man_ and Other Essays, by Mark Twain.pdf",90.0,101021.0,107422.0,6401.0,pdf_repeated_header_footer_body_pages,,,,375.0,103125.0,,,,Literature,0.0,0.0,0.0,1346.9466666666667,1346.9466666666667,1346.9466666666667,0.0,75.0,0.0,0.0,101021.0,1346.9466666666667,False,1683.6833333333334,0.0,2024,True,True,True,False,False,calendar_time_lte_90_minutes,375.0,0.0,0.0
finish_0094,The Oxford Book of Short Stories,2024-09-14,742.0916666666667,795.0,770.0,712.0916666666667,765.0,740.0,0.0,0.0,0.0,30.0,30.0,30.0,22,2024-08-08,2024-09-14,770.0,calendar_analysis_duration_with_gt15m_overlap_restored,52.9083333333333,27.908333333333303,1,False,,,231362.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Oxford Book of Short Stories - V. S. Pritchett.epub,90.0,231362.0,231363.0,1.0,epub_spine_body_sections,all_non_front_sections_reclassified_as_body,,,547.0,150425.0,,,,Literature,4537.0,67.0,0.0,300.4701298701299,291.02138364779876,291.02138364779876,0.0,770.0,0.0,0.0,231362.0,300.4701298701299,False,324.9047992416707,196.0996187792291,2024,True,True,True,True,True,,547.0,0.12248628884826325,0.0
finish_0095,Red Plenty,2024-09-19,600.0,600.0,600.0,585.0,585.0,585.0,0.0,0.0,0.0,15.0,15.0,15.0,10,2024-09-17,2024-09-19,600.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,141066.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/Red Plenty - F Spufford - (2010, Faber and Faber).epub",90.0,141066.0,172213.0,31147.0,epub_spine_body_sections,,,,434.0,119350.0,,,,General Reading,14255.0,172.0,52.0,235.11,235.11,235.11,0.0,600.0,0.0,0.0,141066.0,235.11,False,241.13846153846154,1010.5198984872329,2024,True,True,True,True,True,,434.0,0.39631336405529954,0.11981566820276497
