model,response_column,predictor,n_books,coefficient_wpm_per_log1p_unit,intercept_or_baseline,r_squared,p25_predictor,p75_predictor,estimated_wpm_change_p75_to_p25
unadjusted,wpm_first_pass_primary,highlight_count_per_page,114,-76.80202415666805,349.3484572296006,0.016940607113094863,0.0,0.4463733105886868,28.344498062163108
category_fixed_effects,wpm_first_pass_primary,highlight_count_per_page,114,-98.17237324067278,360.82551734603487,0.04600206869294332,0.0,0.4463733105886868,36.23142324220383
unadjusted,wpm_first_pass_primary,my_note_words_per_page,114,-27.464201902404998,341.03118487278226,0.00584008833747196,0.0,0.36673560828403456,8.580506818278414
category_fixed_effects,wpm_first_pass_primary,my_note_words_per_page,114,-34.14013142991961,350.3635634322567,0.033228439661542986,0.0,0.36673560828403456,10.66623496114388
