category_plot,n_books,median_wpm,mean_wpm
"Business, management",22,307.5938726603772,338.2103969202522
fiction,16,292.1674476864132,316.22048471591575
Histories,14,288.7456627491498,318.4728791447954
General Reading,12,324.7105580693816,324.9502659939519
Unknown,9,339.85088757396454,326.91241890010053
Literature,8,280.95411255411256,355.8973936324595
Machine Learning,3,503.29411764705884,367.4661718238189
Computer Science,1,330.18461538461537,330.18461538461537
