finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0011,Captain Courageous,2022-01-29,225.0,225.0,225.0,30.0,30.0,30.0,0.0,0.0,0.0,195.0,195.0,195.0,2,2022-01-29,2022-01-29,225.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,225.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0012,Dune,2022-02-16,724.9999999999999,754.9999999999999,754.9999999999999,425.0,455.0,455.0,0.0,0.0,0.0,300.0,300.0,300.0,3,2022-02-13,2022-02-16,754.9999999999999,calendar_analysis_duration_with_gt15m_overlap_restored,30.0,30.0,1,False,,,202560.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Frank Herbert - Dune 1 - Dune/Frank Herbert - Dune 1 - Dune.pdf,100.0,Frank Herbert - Dune 1 - Dune.pdf,202560.0,202560.0,0.0,pdf_repeated_header_footer_body_pages,,,,,,,,,,0.0,0.0,0.0,268.29139072847687,268.29139072847687,268.29139072847687,0.0,754.9999999999999,0.0,0.0,202560.0,268.29139072847687,False,476.61176470588236,0.0,2022,True,True,True,True,True,
finish_0013,Dune Messiah,2022-02-19,187.5,300.0,300.0,112.5,225.0,225.0,0.0,0.0,0.0,75.0,75.0,75.0,4,2022-02-18,2022-02-19,300.0,calendar_analysis_duration_with_gt15m_overlap_restored,112.5,112.5,1,False,,,77540.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/Dune Messiah/Dune Messiah.epub,100.0,Dune Messiah,77540.0,77551.0,11.0,epub_spine_body_sections,,64000.0,https://www.readinglength.com/book/BX9oRzY,278.0,76450.0,-13540.0,-0.1746195511993809,0.1746195511993809,fiction,0.0,0.0,0.0,258.46666666666664,258.46666666666664,258.46666666666664,0.0,300.0,0.0,0.0,77540.0,258.46666666666664,False,689.2444444444444,0.0,2022,True,True,True,True,True,
finish_0014,children of Dune,2022-02-22,547.5,555.0,547.5,322.5,330.0,322.5,0.0,0.0,0.0,225.0,225.0,225.0,7,2022-02-19,2022-02-22,547.5,calendar_analysis_duration_with_gt15m_overlap_restored,7.5,0.0,1,False,,,154582.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Frank Herbert - Children of Dune-Ace Books  (2008)/Frank Herbert - Children of Dune-Ace Books  (20.pdf,90.0,children of Dune,154582.0,156940.0,2358.0,pdf_repeated_header_footer_body_pages,,,,,,,,,,0.0,0.0,0.0,282.3415525114155,278.52612612612614,278.52612612612614,0.0,547.5,0.0,0.0,154582.0,282.3415525114155,False,479.32403100775196,0.0,2022,True,True,True,True,True,
finish_0015,Huck Finn,2022-03-27,270.0,285.0,270.0,180.0,195.0,180.0,0.0,0.0,0.0,90.0,90.0,90.0,4,2022-03-15,2022-03-27,270.0,calendar_analysis_duration_with_gt15m_overlap_restored,15.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,270.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0016,antisemite and jew,2022-04-04,60.0,60.0,60.0,30.0,30.0,30.0,0.0,0.0,0.0,30.0,30.0,30.0,2,2022-03-21,2022-04-04,60.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,60.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
finish_0017,autobiography of ben franklin,2022-04-21,300.0,300.0,300.0,270.0,270.0,270.0,0.0,0.0,0.0,30.0,30.0,30.0,6,2022-04-15,2022-04-21,300.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,75716.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/The Autobiography of Benjamin Franklin,  Project G/The Autobiography of Benjamin Franklin,  Projec.pdf",82.0,aobf,75716.0,78916.0,3200.0,pdf_repeated_header_footer_body_pages,,,,,,,,,,0.0,0.0,0.0,252.38666666666666,252.38666666666666,252.38666666666666,0.0,300.0,0.0,0.0,75716.0,252.38666666666666,False,280.42962962962963,0.0,2022,True,True,True,True,True,
finish_0018,"Sadly, Porn",2022-04-23,1132.5,1155.0,1132.5,1087.5,1110.0,1087.5,0.0,0.0,0.0,45.0,45.0,45.0,12,2022-02-22,2022-04-23,1132.5,calendar_analysis_duration_with_gt15m_overlap_restored,22.5,0.0,1,False,,,299624.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Sadly, Porn/Sadly, Porn.epub",100.0,"Sadly, Porn",299624.0,299625.0,1.0,epub_spine_body_sections,,,,,,,,,,0.0,0.0,0.0,264.56865342163354,259.4147186147186,259.4147186147186,0.0,1132.5,0.0,0.0,299624.0,264.56865342163354,False,275.51632183908043,0.0,2022,True,True,True,True,True,
finish_0019,the great divorce,2022-04-27,120.0,120.0,120.0,90.0,90.0,90.0,0.0,0.0,0.0,30.0,30.0,30.0,4,2022-04-16,2022-04-27,120.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,29379.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/lewis-c-s-the-great-divorce#keep#/lewis-c-s-the-great-divorce#keep#.pdf,100.0,lewis-c-s-the-great-divorce#keep#.pdf,29379.0,29379.0,0.0,pdf_repeated_header_footer_body_pages,,,,,,,,,Literature,0.0,0.0,0.0,244.825,244.825,244.825,0.0,120.0,0.0,0.0,29379.0,244.825,False,326.43333333333334,0.0,2022,True,True,True,True,True,
finish_0020,Coup Detat,2022-05-13,240.0,240.0,240.0,180.0,180.0,180.0,0.0,0.0,0.0,60.0,60.0,60.0,8,2022-05-02,2022-05-13,240.0,calendar_analysis_duration_with_gt15m_overlap_restored,0.0,0.0,1,False,,,,,low,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,240.0,0.0,0.0,,,False,,,2022,False,False,False,False,False,
