finish_id,title,source_type,source,word_count,status,error,notes
finish_0112,machine learning engineering,local_file,/Users/clarkbenham/side_projects/data/Books/Machine Learning Engineering - Andriy Burkov - (2020).pdf,107231,ok,,
finish_0113,nonviolent communication,local_file,/Users/clarkbenham/side_projects/data/Books/Nonviolent Communication_ A Language of Life_ Life-Changing -- Marshall B_ Rosenberg -- 2015 -- Puddledancer Press.epub,77612,ok,,
finish_0114,the art of military innovation,local_file,"/Users/clarkbenham/side_projects/data/Books/The Art of Military Innovation_ Lessons from the Israel Defense Forces - Edward N. Luttwak_ Eitan Shamir - (2023, Harvard University Press) [10.4159_9780674295148].pdf",116766,ok,,
finish_0117,Apollo: The Race to the Moon,local_file,"/Users/clarkbenham/side_projects/data/Books/Apollo_ The Race to the Moon - Murray, Charles _ Cox, Catherine Bly - (1989, Simon & Schuster).epub",201859,ok,,
finish_0118,best of Isaac Asimov,local_file,/Users/clarkbenham/side_projects/data/Books/The Best of Isaac Asimov - Isaac Asimov - (2005).epub,113962,ok,,
finish_0119,parkinson's law,local_file,"/Users/clarkbenham/side_projects/data/Books/Parkinson’s Law, and Other Studies in Administration-Cyril Northcote Parkinson - Houghton Mifflin (1957).pdf",28624,ok,,
finish_0120,how to succeed at business without really trying,local_file,"/Users/clarkbenham/side_projects/data/Books/How to Succeed in Business Without Really Trying - Shepherd Mead - (1952, Simon and Schuster).pdf",21917,ok,,
finish_0121,Life and Fate,local_file,"/Users/clarkbenham/side_projects/data/Books/Life And Fate - Grossman, Vasily - (Orange Inheritance Edition) (2011, Random House).epub",337300,ok,,
finish_0122,Monday Starts on Saturday,local_file,"/Users/clarkbenham/side_projects/data/Books/Monday Starts on Saturday - Strugatsky, Boris - (2017, Chicago Review Press).epub",87094,ok,,
finish_0123,Kelly my share of it all,local_file,"/Users/clarkbenham/side_projects/data/Books/Kelly_ More Than My Share of It All -- Clarence L_ Johnson, Maggie Smith -- 2012.epub",69433,ok,,
finish_0124,Atomic Habits,local_file,"/Users/clarkbenham/side_projects/data/Books/Atomic habits_ an easy and proven way to build good habits and break bad ones - Clear, James - (2018, Random House Business Books).epub",80712,ok,,
finish_0125,rlhf,local_file,/Users/clarkbenham/side_projects/data/Books/Reinforcement Learning from Human Feedback_ jun 11_ A short introduction to RLHF and post-training focused on language models - Nathan Lambert.pdf,48307,ok,,
finish_0128,screwtape letters,local_file,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,31324,ok,,
finish_0130,the pale king,local_file,"/Users/clarkbenham/side_projects/data/Books/The Pale King- An Unfinished Novel - Wallace, David Foster - (2011, Little, Brown and Company).epub",213241,ok,,
finish_0131,the Oxford book of essays,local_file,/Users/clarkbenham/side_projects/data/Books/The Oxford Book of Essays-John J. Gross - Oxford University Press (1991).pdf,284080,ok,,
finish_0132,12 rules for life,local_file,"/Users/clarkbenham/side_projects/data/Books/12 Rules for Life [Hardcover] and Maps of Meaning) 12 Rules for Life_ An Antidote to Ch - Jordan B. Peterson - (2018, Penguin Books Ltd_ Allen Lane).epub",151490,ok,,
finish_0133,the pentagon wars,local_file,"/Users/clarkbenham/side_projects/data/Books/The Pentagon Wars_ Reformers Challenge the Old Guard - James G. Burton - (2014, US Naval Institute Press).epub",135747,ok,,
finish_0134,you just dont understand,local_file,"/Users/clarkbenham/side_projects/data/Books/You Just Don't Understand - Tannen, Deborah.epub",108821,ok,,
finish_0135,on China,local_file,"/Users/clarkbenham/side_projects/data/Books/On China - Kissinger, Henry.epub",188154,ok,,
finish_0136,The Path to Power: The Years of Lyndon Johnson I,local_file,"/Users/clarkbenham/side_projects/data/Books/The Path to Power_ The Years of Lyndon Johnson vol I - Robert A. Caro -  (2011, Knopf Doubleday Publishing Group).epub",465435,ok,,
finish_0137,means of ascent,local_file,"/Users/clarkbenham/side_projects/data/Books/Means of ascent v2 - Caro, Robert A - (2009, Knopf Doubleday Publishing Group).epub",282854,ok,,
finish_0138,man’s search for meaning,local_file,/Users/clarkbenham/side_projects/data/Books/Man’s Search for Meaning - Viktor E. Frankl_ Harold S. Kushner_ William J. Winslade_ Isle Lasch - Beacon Press (2006).epub,45193,ok,,
finish_0139,master of the senate,local_file,"/Users/clarkbenham/side_projects/data/Books/Master of the Senate v3 - Caro, Robert A.epub",616427,ok,,
finish_0140,the passage of power,local_file,"/Users/clarkbenham/side_projects/data/Books/The Passage of Power_ The Years of Lyndon Johnson v4- Robert A. Caro - (2012, Knopf).epub",405253,ok,,
finish_0142,racing for the bomb,local_file,"/Users/clarkbenham/side_projects/data/Books/Racing for the Bomb_ General Leslie R. Groves, the Manhattan Project's Indispensable Man - Robert S. Norris - (2002, Steerforth Pr).pdf",0,error,no_text_extracted,
finish_0143,Kissinger,local_file,"/Users/clarkbenham/side_projects/data/Books/On China - Kissinger, Henry.epub",188154,ok,,
finish_0144,bureaucracy,local_file,/Users/clarkbenham/side_projects/data/Books/Bureaucracy _ what government agencies do and why they do it - James Q. Wilson - (2000).epub,189570,ok,,
finish_0145,theory and practice of gamesmanship,local_file,"/Users/clarkbenham/side_projects/data/Books/The Theory and Practice of Gamesmanship_ Or, the Art of Winning Games Without Actually Cheating - Stephen Potter - (2015, Pickle Partners Publishing).epub",22518,ok,,
finish_0147,how to improve your marriage without talking about it,local_file,"/Users/clarkbenham/side_projects/data/Books/How to Improve Your Marriage Without Talking About It - Patricia Love, Steven Stosny - (2008, Harmony).epub",63296,ok,,
finish_0149,Mathematics for Machine Learning,local_file,/Users/clarkbenham/side_projects/data/Books/Mathematics for Machine Learning Soln.pdf,21167,ok,,
finish_0151,reading asme y14.41,local_file,/Users/clarkbenham/side_projects/data/Books/ASME-Y14-41-2012-Digital-Product-Definition (0)- ASME.pdf,0,error,no_text_extracted,
finish_0153,failure is not an option,local_file,/Users/clarkbenham/side_projects/data/Books/Failure Is Not an Option_ Mission Control from Mercury to Apollo 13 and Beyond - Gene Kranz - Simon & Schuster (2000).epub,164489,ok,,
finish_0152,blueprint reading: construction drawings for the building trade,local_file,"/Users/clarkbenham/side_projects/data/Books/Blueprint reading _ construction drawings for the building trades (2008, McGraw-Hill Companies, Inc.) - [McGraw Hill professional] Sam A. A. Kubba - [10.1036_0071549862].pdf",93071,ok,,
finish_0155,age of ambition,local_file,"/Users/clarkbenham/side_projects/data/Books/Age of Ambition_ Chasing Fortune, Truth, and Faith in the New China - Osnos, Evan - (2014, Farrar, Straus and Giroux).epub",154934,ok,,
finish_0156,Apple in China,local_file,"/Users/clarkbenham/side_projects/data/Books/Apple in China - Patrick McGee - (2025, Simon & Schuster UK).epub",145857,ok,,
finish_0157,the price of victory,local_file,"/Users/clarkbenham/side_projects/data/Books/The Price of Victory - Rodger, N A M - (2024, Penguin Books Ltd).epub",444030,ok,,
finish_0159,Richard Nixon the Life,local_file,"/Users/clarkbenham/side_projects/data/Books/Richard Nixon_ The Life - Farrell, John Aloysius_Nixon, Richard Milhous - (2017, Knopf Doubleday Publishing Group).epub",326023,ok,,
finish_0161,high intensity training the mike mentzer way,local_file,/Users/clarkbenham/side_projects/data/Books/HIGH-INTENSITY TRAINING the Mike Mentzer Way by Mike Mentzer with John Little.pdf,71430,ok,,
finish_0166,my early life,local_file,/Users/clarkbenham/side_projects/data/Books/My Early Life  1872 to 1904 - Churchill.epub,124256,ok,,
finish_0167,the second world war,local_file,"/Users/clarkbenham/side_projects/data/Books/The Second World War_ Abridged Edition, With an Epilogue on the Years 1945 to 1957 - Churchill.epub",462971,ok,,
finish_0168,six crises,local_file,"/Users/clarkbenham/side_projects/data/Books/Six Crises -  Nixon, Richard - (Simon & Schuster).epub",207429,ok,,
finish_0170,thoughts and adventures,local_file,/Users/clarkbenham/side_projects/data/Books/Thoughts and Adventures by Winston Churchill.epub,86189,ok,,
finish_0171,revolt in the desert,local_file,/Users/clarkbenham/side_projects/data/Books/ Revolt in the Desert by T E Lawrence.epub,134335,ok,,
finish_0174,the power broker,local_file,/Users/clarkbenham/side_projects/data/Books/The Power Broker_ Robert Moses and the Fall of New York  -Robert A. Caro -1975.epub,697127,ok,,
finish_0175,Shape Up Stop Running in Circles and Ship Work that Matters,local_file,/Users/clarkbenham/side_projects/data/Books/Shape Up_ Stop Running in Circles and Ship Work that Matters -  Ryan Singer - (2019).pdf,32398,ok,,
finish_0176,to say nothing of the dog,local_file,"/Users/clarkbenham/side_projects/data/Books/To say nothing of the dog, or, How we found the bishop's -- Oxford Time Travel  02 -- Connie Willis 1998 -- Bantam Books .epub",186975,ok,,
finish_0177,art and fear,local_file,"/Users/clarkbenham/side_projects/data/Books/Art & fear _ observations on the perils (and rewards) of artmaking - Orland, Ted_ Bayles, David - (1993, Turtleback Books_Distributed by Consortium Book Sales & Distribution, Image Continuum Press).pdf",27656,ok,,
finish_0178,the world crisis,local_file,/Users/clarkbenham/side_projects/data/Books/the world crisis abriged - Winston Churchill.epub,210877,ok,,
finish_0179,the world crisis volume 2,local_file,/Users/clarkbenham/side_projects/data/Books/The World Crisis - Churchill Winston - Volume 3_ 1916-1918.mobi,203721,ok,,
finish_0180,the world crisis vol 3,local_file,/Users/clarkbenham/side_projects/data/Books/The World Crisis - Churchill Winston - Volume 3_ 1916-1918.mobi,203721,ok,,
finish_0181,the world crisis volume 4,local_file,/Users/clarkbenham/side_projects/data/Books/The World Crisis. Volume 4_ The Aftermath - Churchill Winston.mobi,164311,ok,,
finish_0182,the history of the English speaking peoples volume 4,local_file,"data/Books/The Great Democracies_ A History of the English-Speaking Peoples, Volume IV - Churchill, Winston Spencer - (2005, Barnes & Noble).epub",124300,ok,,
finish_0183,going postal,local_file,"/Users/clarkbenham/side_projects/data/Books/Going Postal [Discworld 33] - Terry Pratchett - (2009, HarperCollins).epub",121922,ok,,
finish_0184,Now It Can Be Told,local_file,"/Users/clarkbenham/side_projects/data/Books/Now it can be told _ the story of the Manhattan Project - Groves , Leslie R - (1983, Da Capo Press).epub",168544,ok,,
