category,n_books,median_wpm,mean_wpm,p25_wpm,p75_wpm
fiction,17,340.69444444444446,396.20489556037467,290.0,464.44444444444446
Literature,13,362.26666666666665,380.77745693419064,270.0,487.6666666666667
"Business, management",12,311.25925925925924,382.0123568900981,254.73684210526318,540.8333333333334
General Reading,9,293.3333333333333,349.8604655037404,238.33333333333334,423.7037037037037
Machine Learning,1,473.0,473.0,473.0,473.0
