finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_word_count,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0021,screwtape letters,2022-05-14,195.0,195.0,195.0,75.0,75.0,75.0,0.0,0.0,0.0,120.0,120.0,120.0,2,2022-05-13,2022-05-14,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,31324.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Books/The Screwtape Letters-C. S. Lewis -#keep#.epub,90.0,31324.0,,,,160.0,44000.0,Literature,6402.0,130.0,0.0,160.63589743589745,160.63589743589745,160.63589743589745,0.0,195.0,0.0,0.0,31324.0,160.63589743589745,False,417.6533333333333,2043.8002809347468,2022,True,True,True,True,
finish_0022,Arnold Schwarzenegger,2022-05-16,157.5,165.0,165.0,60.0,60.0,60.0,0.0,0.0,0.0,97.5,105.0,105.0,2,2022-05-15,2022-05-16,165.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,,70400.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,256.0,70400.0,General Reading,0.0,0.0,0.0,426.6666666666667,426.6666666666667,426.6666666666667,0.0,165.0,0.0,0.0,70400.0,426.6666666666667,False,1173.3333333333333,0.0,2022,True,False,True,True,
finish_0024,An Experiment in Criticism,2022-06-02,165.0,165.0,165.0,75.0,75.0,75.0,0.0,0.0,0.0,90.0,90.0,90.0,3,2022-06-01,2022-06-02,165.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,36575.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,133.0,36575.0,Literature,0.0,0.0,0.0,221.66666666666666,221.66666666666666,221.66666666666666,0.0,165.0,0.0,0.0,36575.0,221.66666666666666,False,487.6666666666667,0.0,2022,True,False,True,True,
finish_0025,Talent,2022-06-03,285.0,285.0,285.0,255.0,255.0,255.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2022-05-21,2022-06-03,285.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,79200.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,288.0,79200.0,"Business, management",0.0,0.0,0.0,277.89473684210526,277.89473684210526,277.89473684210526,0.0,285.0,0.0,0.0,79200.0,277.89473684210526,False,310.5882352941176,0.0,2022,True,False,True,True,
finish_0026,Coders at Work,2022-06-05,645.0,645.0,645.0,555.0,555.0,555.0,0.0,0.0,0.0,90.0,90.0,90.0,12,2022-01-13,2022-06-05,645.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,169675.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,617.0,169675.0,"Business, management",0.0,0.0,0.0,263.06201550387595,263.06201550387595,263.06201550387595,0.0,645.0,0.0,0.0,169675.0,263.06201550387595,False,305.72072072072075,0.0,2022,True,False,True,True,
finish_0032,the machine that changed the world,2022-09-26,195.0,195.0,195.0,180.0,180.0,180.0,0.0,0.0,0.0,15.0,15.0,15.0,6,2022-09-12,2022-09-26,195.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,96800.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,352.0,96800.0,"Business, management",0.0,0.0,0.0,496.4102564102564,496.4102564102564,496.4102564102564,0.0,195.0,0.0,0.0,96800.0,496.4102564102564,False,537.7777777777778,0.0,2022,True,False,True,True,
finish_0033,pragmatic programmer,2022-10-27,255.0,255.0,255.0,225.0,225.0,225.0,0.0,0.0,0.0,30.0,30.0,30.0,8,2022-05-23,2022-10-27,255.0,calendar_analysis_duration_with_compatible_overlap_restored,0.0,0.0,1,False,,,92108.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/The Pragmatic Programmer_ From Journeyman to Master-Andrew Hunt, David Thomas - Addison-Wesley Professional (1999).pdf",90.0,92108.0,,,,352.0,96800.0,,,,,361.2078431372549,361.2078431372549,361.2078431372549,0.0,255.0,0.0,0.0,92108.0,361.2078431372549,False,409.3688888888889,,2022,True,True,True,True,
finish_0038,The Golden Enclaves,2022-12-06,457.5,465.0,465.0,375.0,375.0,375.0,0.0,0.0,0.0,82.5,90.0,90.0,2,2022-12-06,2022-12-06,465.0,calendar_analysis_duration_with_compatible_overlap_restored,7.5,7.5,1,False,,,105600.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,384.0,105600.0,fiction,0.0,0.0,0.0,227.09677419354838,227.09677419354838,227.09677419354838,0.0,465.0,0.0,0.0,105600.0,227.09677419354838,False,281.6,0.0,2022,True,False,True,True,
finish_0039,The Three-Body Problem,2022-12-26,255.0,315.0,255.0,225.0,285.0,225.0,0.0,0.0,0.0,30.0,30.0,30.0,5,2022-12-24,2022-12-26,255.0,calendar_analysis_duration_with_compatible_overlap_restored,60.0,0.0,1,False,,,114675.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,417.0,114675.0,,,,,449.70588235294116,364.04761904761904,364.04761904761904,0.0,255.0,0.0,0.0,114675.0,449.70588235294116,False,509.6666666666667,,2022,True,False,True,True,
finish_0043,Never Finished,2023-01-12,247.5,285.0,285.0,232.5,270.0,270.0,0.0,0.0,0.0,15.0,15.0,15.0,7,2023-01-04,2023-01-12,285.0,calendar_analysis_duration_with_compatible_overlap_restored,37.5,37.5,1,False,,,85800.0,metadata_pages_x_words_per_page,medium,,0.0,,,,,312.0,85800.0,General Reading,0.0,0.0,0.0,301.05263157894734,301.05263157894734,301.05263157894734,0.0,285.0,0.0,0.0,85800.0,301.05263157894734,False,369.03225806451616,0.0,2023,True,False,True,True,
