highlight_density_bin,n_books,median_wpm,mean_wpm,median_highlight_words_per_10k_words,median_highlighted_words,median_my_note_words
high_positive,6,345.50694444444446,366.5946699905033,1242.5602623183267,8486.0,77.0
low_positive,6,338.11249999999995,338.10777116402113,175.4988718375446,1465.0,0.0
medium_positive,6,423.7573099415205,409.9249234196603,336.3904523158136,4086.0,40.0
no_highlights,34,307.6751751751752,388.34466027766416,0.0,0.0,0.0
