cohort,n_books,total_words,total_primary_minutes,aggregate_primary_wpm,median_primary_wpm,mean_primary_wpm,total_full_wall_clock_minutes,aggregate_full_wall_clock_wpm,audio_dominant_books,gt600_books,gt900_books,aggregate_visual_after_audio_350wpm,median_visual_after_audio_350wpm,delta_vs_base_aggregate_primary_wpm,pct_delta_vs_base_aggregate_primary_wpm
base_first_reads_gt90m,117,17649001.0,57921.941666666666,304.70320041354506,314.7407969639469,335.71081072418656,58675.0,300.79251810822325,5,3,1,302.2409445803159,310.41689588496416,0.0,0.0
base_excluding_gt600_wpm,114,17147744.0,57336.941666666666,299.0697358727278,310.6363302367081,323.32236543901723,58060.0,295.34522907337237,5,0,0,296.25506958314685,307.52043010752686,-5.633464540817272,-1.8488366821127902
base_excluding_gt900_wpm,116,17365008.0,57636.941666666666,301.28260622202225,314.1190574858049,330.01463955226865,58375.0,297.4733704496788,5,2,0,298.6107192205538,307.7753424657534,-3.4205941915228095,-1.122598708146274
base_excluding_audio_dominant,112,16596993.0,54966.941666666666,301.94499633340223,310.6363302367081,332.88886782879166,55675.0,298.1049483610238,0,3,1,300.9955207241298,307.64788628664013,-2.758204080142832,-0.9052100786599485
visual_after_audio_excluding_audio_dominant,112,16596993.0,54966.941666666666,301.94499633340223,310.6363302367081,332.88886782879166,55675.0,298.1049483610238,0,3,1,300.9955207241298,307.64788628664013,-2.758204080142832,-0.9052100786599485
visual_after_audio_excluding_audio_dominant_gt600,109,16095736.0,54381.941666666666,295.97575052870644,307.52043010752686,319.8544770838789,55060.0,292.33083908463493,0,0,0,294.8966221337089,307.0252252252252,-8.72744988483862,-2.864246215003213
high_confidence_first_reads_gt90m,117,17649001.0,57921.941666666666,304.70320041354506,314.7407969639469,335.71081072418656,58675.0,300.79251810822325,5,3,1,302.2409445803159,310.41689588496416,0.0,0.0
