finish_year,n_books,median_wpm,mean_wpm,p25_wpm,p75_wpm
2020,1,305.55555555555554,305.55555555555554,305.55555555555554,305.55555555555554
2021,2,231.90058479532166,231.90058479532166,213.406432748538,250.3947368421053
2022,12,365.44444444444446,399.0930847514181,299.69054054054055,540.8333333333334
2023,16,306.97916666666663,374.3909406201997,287.77777777777777,400.5833333333333
2024,17,378.125,378.3417294326373,246.71428571428572,506.4583333333333
2025,4,478.19444444444446,477.7361111111111,426.55555555555554,529.375
