finish_year,n_books,median_visual_wpm,mean_visual_wpm
2021,2,321.2160714285714,321.2160714285714
2022,17,259.4155844155844,290.2298232654292
2023,17,276.76781609195405,285.3893693171932
2024,27,311.6666666666667,322.39395949225155
2025,34,330.8294534412955,334.94567905061376
2026,15,282.984126984127,298.4569288263857
