finish_id,title,matched_finish_date,first_pass_calendar_minutes,first_pass_wall_clock_minutes,first_pass_overlap_policy_minutes,reading_calendar_minutes,reading_wall_clock_minutes,reading_overlap_policy_minutes,audiobook_calendar_minutes,audiobook_wall_clock_minutes,audiobook_overlap_policy_minutes,finished_calendar_minutes,finished_wall_clock_minutes,finished_overlap_policy_minutes,n_included_events,first_event,last_event,primary_first_pass_minutes,primary_minutes_rule,calendar_overlap_delta_minutes,overlap_policy_restored_minutes,read_instance,is_reread,previous_finish_date,days_since_previous_finish,chosen_word_count,word_count_source,word_count_confidence,local_file_path,local_file_match_score,local_file_match_hint,local_file_word_count,local_raw_word_count,local_excluded_word_count,local_word_count_method,local_file_error,external_word_count,external_word_count_source,metadata_page_count,metadata_word_estimate,online_minus_local_words,online_error_rate_vs_local,online_abs_error_rate_vs_local,category,highlighted_words,highlight_count,my_note_words,wpm_first_pass_primary,wpm_first_pass_wall_clock,wpm_first_pass_full_wall_clock,audiobook_primary_minutes,non_audio_primary_minutes,audiobook_share_of_primary_minutes,estimated_audio_words_at_350wpm,estimated_visual_words_after_audio_350wpm,wpm_visual_after_audio_350wpm,audio_dominant,wpm_reading_only_calendar,highlight_words_per_10k_words,finish_year,uses_local_file_word_count,usable_for_speed,usable_for_confident_speed,usable_for_duration_screened_speed,usable_for_visual_reading_speed,duration_screen_exclusion_reason
finish_0174,the power broker,2025-12-04,682.5,1170.0,1162.5,127.5,135.0,127.5,555.0,1035.0,1035.0,45.0,90.0,90.0,18,2025-06-05,2025-12-04,1162.5,calendar_analysis_duration_with_gt15m_overlap_restored,487.5,480.0,1,False,,,617985.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/The power broker/The power broker.epub,100.0,the power broker,617985.0,697127.0,79142.0,epub_spine_body_sections,,311500.0,https://www.readinglength.com/book/BBZvmjw,,,-306485.0,-0.4959424581502787,0.4959424581502787,"Business, management",4297.0,68.0,76.0,531.6,528.1923076923077,528.1923076923077,1035.0,127.5,0.8903225806451613,362250.0,255735.0,2005.764705882353,True,4846.941176470588,69.53243201695834,2025,True,True,True,True,False,
finish_0182,the history of the English speaking peoples volume 4,2026-01-11,905.0,1110.0,1095.0,720.0,735.0,720.0,184.99999999999997,375.0,375.0,30.0,60.0,60.0,18,2025-11-15,2026-01-11,1095.0,calendar_analysis_duration_with_gt15m_overlap_restored,205.0000000000001,190.0000000000001,1,False,,,124144.0,local_file_word_count,high,"data/Books/The Great Democracies_ A History of the English-Speaking Peoples, Volume IV - Churchill, Winston Spencer - (2005, Barnes & Noble).epub",100.0,"data/Books/The Great Democracies_ A History of the English-Speaking Peoples, Volume IV - Churchill, Winston Spencer - (2005, Barnes & Noble).epub",124144.0,124300.0,156.0,epub_spine_body_sections,,,,,,,,,Histories,4348.0,87.0,12.0,113.37351598173515,111.84144144144145,111.84144144144145,375.0,720.0,0.3424657534246575,131250.0,0.0,0.0,True,172.42222222222222,350.2384327877304,2026,True,True,True,True,False,
finish_0184,Now It Can Be Told,2026-01-19,217.5,360.0,360.0,15.0,15.0,15.0,202.5,345.0,345.0,30.0,30.0,30.0,7,2025-07-06,2026-01-19,360.0,calendar_analysis_duration_with_gt15m_overlap_restored,142.5,142.5,1,False,,,163006.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt2/Google Play Books/Now It Can Be Told/Now It Can Be Told.epub,100.0,Now It Can Be Told,163006.0,168544.0,5538.0,epub_spine_body_sections,,,,,,,,,"Business, management",16.0,1.0,0.0,452.7944444444444,452.7944444444444,452.7944444444444,345.0,15.0,0.9583333333333334,120750.0,42256.0,2817.0666666666666,True,10867.066666666668,0.9815589610198399,2026,True,True,True,True,False,
finish_0187,the effective executive,2026-01-29,97.5,150.0,127.5,22.5,30.0,22.5,75.0,120.0,105.0,15.0,30.0,30.0,7,2025-01-22,2026-01-30,127.5,calendar_analysis_duration_with_gt15m_overlap_restored,52.5,30.0,1,False,,,64081.0,local_file_word_count,high,"/Users/clarkbenham/side_projects/data/Books/The Effective Executive_ The Definitive Guide to Getting the Right Things Done - Peter F. Drucker, Jim Collins - (2017, HarperBusiness).epub",90.0,the effective executive,64081.0,66884.0,2803.0,epub_spine_body_sections,,52000.0,https://www.readinglength.com/book/B27p7xT,,,-12081.0,-0.1885270204896927,0.1885270204896927,"Business, management",1457.0,29.0,0.0,502.5960784313726,427.20666666666665,427.20666666666665,105.0,22.5,0.8235294117647058,36750.0,27331.0,1214.7111111111112,True,2848.0444444444443,227.3684867589457,2026,True,True,True,True,False,
finish_0203,the nvidia way,2026-05-13,112.5,210.0,210.0,0.0,0.0,0.0,112.5,210.0,210.0,15.0,30.0,30.0,5,2026-04-26,2026-05-13,210.0,calendar_analysis_duration_with_gt15m_overlap_restored,97.5,97.5,1,False,,,82792.0,local_file_word_count,high,/Users/clarkbenham/side_projects/data/Takeout_Play_books_03_16_25_pt1/Google Play Books/The Nvidia Way/The Nvidia Way.epub,100.0,the nvidia way,82792.0,85997.0,3205.0,epub_spine_body_sections,,,,,,,,,,0.0,0.0,0.0,394.247619047619,394.247619047619,394.247619047619,210.0,0.0,1.0,73500.0,9292.0,,True,inf,0.0,2026,True,True,True,True,False,
