cohort,n_finished_read_instances,total_estimated_words,total_primary_minutes,total_primary_hours,total_full_wall_clock_minutes,total_full_wall_clock_hours,aggregate_wpm,aggregate_visual_after_audio_350wpm,aggregate_full_wall_clock_wpm,mean_of_book_wpms,mean_of_book_full_wall_clock_wpms,median_book_wpm,median_book_visual_after_audio_350wpm,median_book_full_wall_clock_wpm
all_finished_read_instances_with_local_file_word_count,137,18858659.0,60144.441666666666,1002.4073611111111,60905.0,1015.0833333333334,313.55614047460466,311.4535796562334,309.64057138166,397.86613670327716,392.9416785984554,323.23694779116465,322.169696969697,319.3888888888889
first_reads_with_local_file_word_count,131,18429695.0,58934.441666666666,982.2406944444444,59695.0,994.9166666666666,312.715187907241,310.7477509108887,308.7309657425245,399.1271617409402,393.97715593666084,322.169696969697,321.94638694638695,318.5498127340824
first_reads_gt90m_with_local_file_word_count,117,17649001.0,57921.941666666666,965.3656944444444,58675.0,977.9166666666666,304.70320041354506,302.2409445803159,300.79251810822325,335.71081072418656,330.2410511389585,314.7407969639469,310.41689588496416,306.80493827160495
visual_reading_first_reads_gt90m_excluding_audio_dominant,112,16596993.0,54966.941666666666,916.1156944444444,55675.0,927.9166666666666,301.94499633340223,300.9955207241298,298.1049483610238,332.88886782879166,327.8921473568362,310.6363302367081,307.64788628664013,306.64022988505747
