title,avg_enjoyment,goodreads_rating,category,read_year,link
The Wallet of Kai Lung (Kai Lung #1),3,3.43,General Reading,2013,https://www.goodreads.com/review/show/664549499?utm_medium=api&utm_source=rss
The Master Switch: The Rise and Fall of Information Empires,4,3.85,General Reading,2010,https://www.goodreads.com/review/show/370187143?utm_medium=api&utm_source=rss
The Circus of Dr. Lao,4,3.82,General Reading,2011,https://www.goodreads.com/review/show/370188072?utm_medium=api&utm_source=rss
The Kindly Ones,4,3.92,General Reading,2020,https://www.goodreads.com/review/show/370207955?utm_medium=api&utm_source=rss
Cognitive Surplus: Creativity and Generosity in a Connected Age,3,3.83,General Reading,2012,https://www.goodreads.com/review/show/425118086?utm_medium=api&utm_source=rss
The Lady Tasting Tea: How Statistics Revolutionized Science in the Twentieth Century,2,3.94,General Reading,2020,https://www.goodreads.com/review/show/370178949?utm_medium=api&utm_source=rss
The Ideological Origins of the American Revolution,4,4.04,General Reading,2011,https://www.goodreads.com/review/show/370192024?utm_medium=api&utm_source=rss
"Shadow Games (The Chronicles of the Black Company, #4)",3,4.1,General Reading,2013,https://www.goodreads.com/review/show/639823401?utm_medium=api&utm_source=rss
The Man Who Knew Infinity: A Life of the Genius Ramanujan,4,4.03,General Reading,2013,https://www.goodreads.com/review/show/692991828?utm_medium=api&utm_source=rss
"The Judging Eye (Aspect-Emperor, #1)",3,4.01,General Reading,2020,https://www.goodreads.com/review/show/395314693?utm_medium=api&utm_source=rss
"In the Plex: How Google Thinks, Works, and Shapes Our Lives",4,3.83,General Reading,2013,https://www.goodreads.com/review/show/569922309?utm_medium=api&utm_source=rss
Curves and Angles: Poems,3,3.59,General Reading,2019,https://www.goodreads.com/review/show/1090123896?utm_medium=api&utm_source=rss
"Dreams of Steel (The Chronicles of the Black Company, #5)",4,4.11,General Reading,2013,https://www.goodreads.com/review/show/639958766?utm_medium=api&utm_source=rss
Un Lun Dun,3,3.83,General Reading,2014,https://www.goodreads.com/review/show/370584885?utm_medium=api&utm_source=rss
Shame,3,3.25,General Reading,2013,https://www.goodreads.com/review/show/668566831?utm_medium=api&utm_source=rss
"Perseverance island: or, The Robinson Crusoe of the nineteenth century",3,3.5,General Reading,2014,https://www.goodreads.com/review/show/1127697713?utm_medium=api&utm_source=rss
Theological Incorrectness: Why Religious People Believe What They Shouldn't,3,3.96,General Reading,2015,https://www.goodreads.com/review/show/424972918?utm_medium=api&utm_source=rss
Pirate Freedom,3,3.7,General Reading,2012,https://www.goodreads.com/review/show/369834195?utm_medium=api&utm_source=rss
"Star Wars: Before the Storm (The Black Fleet Crisis, #1)",3,3.42,General Reading,2020,https://www.goodreads.com/review/show/370976906?utm_medium=api&utm_source=rss
More Poems,3,4.15,General Reading,2015,https://www.goodreads.com/review/show/372533317?utm_medium=api&utm_source=rss
The Fountain,2,3.0,General Reading,2014,https://www.goodreads.com/review/show/1057777731?utm_medium=api&utm_source=rss
The Complete Poems,1,4.21,General Reading,2017,https://www.goodreads.com/review/show/1825100933?utm_medium=api&utm_source=rss
"Bitter Seeds (The Milkweed Triptych, #1)",3,3.74,General Reading,2013,https://www.goodreads.com/review/show/536251176?utm_medium=api&utm_source=rss
Newton and the Counterfeiter: The Unknown Detective Career of the World's Greatest Scientist,3,3.76,General Reading,2014,https://www.goodreads.com/review/show/372217592?utm_medium=api&utm_source=rss
"Spice & Wolf, Vol. 01",3,4.17,General Reading,2013,https://www.goodreads.com/review/show/680374249?utm_medium=api&utm_source=rss
Silicon Snake Oil: Second Thoughts on the Information Highway,3,3.34,General Reading,2020,https://www.goodreads.com/review/show/371323710?utm_medium=api&utm_source=rss
Chinese History in Economic Perspective (Volume 13) (Studies on China),3,3.0,General Reading,2012,https://www.goodreads.com/review/show/386937322?utm_medium=api&utm_source=rss
Portfolios of the Poor: How the World's Poor Live on $2 a Day,3,3.94,General Reading,2012,https://www.goodreads.com/review/show/370561955?utm_medium=api&utm_source=rss
Structural Equation Modeling: A Bayesian Approach (Wiley Series in Probability and Statistics),3,3.0,General Reading,2015,https://www.goodreads.com/review/show/1379457190?utm_medium=api&utm_source=rss
Memoirs Found in a Bathtub,3,3.8,General Reading,2016,https://www.goodreads.com/review/show/371601851?utm_medium=api&utm_source=rss
"Puzzles of the Black Widowers (The Black Widowers, #5)",2,3.97,General Reading,2015,https://www.goodreads.com/review/show/1323925255?utm_medium=api&utm_source=rss
Star Maker,5,3.93,General Reading,2020,https://www.goodreads.com/review/show/378953642?utm_medium=api&utm_source=rss
Being Wrong: Adventures in the Margin of Error,3,3.93,General Reading,2020,https://www.goodreads.com/review/show/645775331?utm_medium=api&utm_source=rss
The True Believer: Thoughts on the Nature of Mass Movements,4,4.18,General Reading,2020,https://www.goodreads.com/review/show/370558611?utm_medium=api&utm_source=rss
Friendship is Optimal,4,4.14,General Reading,2020,https://www.goodreads.com/review/show/464261897?utm_medium=api&utm_source=rss
The Great Gatsby,4,3.93,General Reading,2015,https://www.goodreads.com/review/show/369880911?utm_medium=api&utm_source=rss
The Thousand Autumns of Jacob de Zoet,5,4.01,General Reading,2018,https://www.goodreads.com/review/show/369971504?utm_medium=api&utm_source=rss
Declare,4,4.03,General Reading,2013,https://www.goodreads.com/review/show/370143889?utm_medium=api&utm_source=rss
The Japanese Family Storehouse: Or the Millionaire's Gospel Modernised,3,4.18,General Reading,2018,https://www.goodreads.com/review/show/2445772856?utm_medium=api&utm_source=rss
Clever Hans (The horse of Mr. Von Osten): A contribution to experimental animal and human psychology,3,4.0,General Reading,2017,https://www.goodreads.com/review/show/1798234899?utm_medium=api&utm_source=rss
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,3,4.07,General Reading,2014,https://www.goodreads.com/review/show/369880530?utm_medium=api&utm_source=rss
"Daemon (Daemon, #1)",3,4.17,General Reading,2013,https://www.goodreads.com/review/show/572696883?utm_medium=api&utm_source=rss
Fascinating Mathematical People: Interviews and Memoirs,2,3.71,General Reading,2014,https://www.goodreads.com/review/show/1082038804?utm_medium=api&utm_source=rss
Although of Course You End Up Becoming Yourself: A Road Trip with David Foster Wallace,3,3.93,General Reading,2015,https://www.goodreads.com/review/show/1391170585?utm_medium=api&utm_source=rss
No Country for Old Men,3,4.16,General Reading,2012,https://www.goodreads.com/review/show/369879483?utm_medium=api&utm_source=rss
Dhalgren,1,3.78,General Reading,2009,https://www.goodreads.com/review/show/369830630?utm_medium=api&utm_source=rss
Lords of Finance: The Bankers Who Broke the World,5,4.01,General Reading,2012,https://www.goodreads.com/review/show/371644624?utm_medium=api&utm_source=rss
Packing for Mars: The Curious Science of Life in the Void,4,3.93,General Reading,2013,https://www.goodreads.com/review/show/372115382?utm_medium=api&utm_source=rss
Tau Zero,3,3.83,General Reading,2013,https://www.goodreads.com/review/show/691360180?utm_medium=api&utm_source=rss
Mathematical People: Profiles and Interviews,3,3.88,General Reading,2014,https://www.goodreads.com/review/show/1063407802?utm_medium=api&utm_source=rss
A Confederacy of Dunces,3,3.89,General Reading,2013,https://www.goodreads.com/review/show/370122433?utm_medium=api&utm_source=rss
The Mature Optimization Handbook,2,4.1,General Reading,2017,https://www.goodreads.com/review/show/2075257961?utm_medium=api&utm_source=rss
The Poems of Gerard Manley Hopkins,3,4.29,General Reading,2016,https://www.goodreads.com/review/show/1643077424?utm_medium=api&utm_source=rss
Tales of Ise: Lyrical Episodes from Tenth-Century Japan,2,3.97,General Reading,2016,https://www.goodreads.com/review/show/1752790103?utm_medium=api&utm_source=rss
1000 Poems from the Manyōshū,3,4.15,General Reading,2016,https://www.goodreads.com/review/show/1673338544?utm_medium=api&utm_source=rss
The Rapture of the Nerds,3,3.34,General Reading,2020,https://www.goodreads.com/review/show/416512247?utm_medium=api&utm_source=rss
Japanese Love Hotels: A Cultural History (Routledge Contemporary Japan Series),3,3.33,General Reading,2015,https://www.goodreads.com/review/show/1200695726?utm_medium=api&utm_source=rss
Confessions of an English Opium Eater,3,3.3,General Reading,2016,https://www.goodreads.com/review/show/1778421809?utm_medium=api&utm_source=rss
"Singularity Rising: Surviving and Thriving in a Smarter, Richer, and More Dangerous World",4,3.68,General Reading,2013,https://www.goodreads.com/review/show/453095194?utm_medium=api&utm_source=rss
Voyage of the Beagle,3,4.03,General Reading,2012,https://www.goodreads.com/review/show/467192562?utm_medium=api&utm_source=rss
Robert Bakewell and the Longhorn Breed of Cattle,3,3.67,General Reading,2019,https://www.goodreads.com/review/show/2921636058?utm_medium=api&utm_source=rss
The Ocean at the End of the Lane,3,4.0,General Reading,2014,https://www.goodreads.com/review/show/980474498?utm_medium=api&utm_source=rss
Renaming of the Birds,3,4.42,General Reading,2014,https://www.goodreads.com/review/show/804909803?utm_medium=api&utm_source=rss
"Light (Kefahuchi Tract, #1)",2,3.62,General Reading,2014,https://www.goodreads.com/review/show/371384448?utm_medium=api&utm_source=rss
Wired Love: A Romance of Dots and Dashes,4,3.88,General Reading,2013,https://www.goodreads.com/review/show/684047219?utm_medium=api&utm_source=rss
The Windup Girl,4,3.75,General Reading,2015,https://www.goodreads.com/review/show/1411687919?utm_medium=api&utm_source=rss
A Life of Sir Francis Galton: From African Exploration to the Birth of Eugenics,4,3.69,General Reading,2016,https://www.goodreads.com/review/show/1605393134?utm_medium=api&utm_source=rss
The Devil in the White City,4,3.99,General Reading,2013,https://www.goodreads.com/review/show/677191961?utm_medium=api&utm_source=rss
A Random Walk Down Wall Street,3,4.05,General Reading,2020,https://www.goodreads.com/review/show/369879819?utm_medium=api&utm_source=rss
Genius: The Life and Science of Richard Feynman,5,4.11,General Reading,2014,https://www.goodreads.com/review/show/369950186?utm_medium=api&utm_source=rss
The Histories,5,3.99,General Reading,2020,https://www.goodreads.com/review/show/370115844?utm_medium=api&utm_source=rss
The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,4,3.95,General Reading,2012,https://www.goodreads.com/review/show/429626610?utm_medium=api&utm_source=rss
"Drug Interdiction: Partnerships, Legal Principles, and Investigative Methodologies for Law Enforcement",3,3.5,General Reading,2015,https://www.goodreads.com/review/show/1411688271?utm_medium=api&utm_source=rss
The Hall of Uselessness: Collected Essays,4,4.32,General Reading,2015,https://www.goodreads.com/review/show/1263489523?utm_medium=api&utm_source=rss
The Legend of Sigurd & Gudrún,2,3.88,General Reading,2010,https://www.goodreads.com/review/show/370998347?utm_medium=api&utm_source=rss
The Iron Dragon's Daughter (The Iron Dragon's Daughter #1),4,3.72,General Reading,2014,https://www.goodreads.com/review/show/373051526?utm_medium=api&utm_source=rss
"A Memory of Light (The Wheel of Time, #14)",3,4.56,General Reading,2013,https://www.goodreads.com/review/show/369881195?utm_medium=api&utm_source=rss
The Notenki Memoirs: Studio Gainax & The Men Who Created Evangelion,5,3.61,General Reading,2009,https://www.goodreads.com/review/show/513412440?utm_medium=api&utm_source=rss
The Wages of Destruction: The Making and Breaking of the Nazi Economy,5,4.53,General Reading,2014,https://www.goodreads.com/review/show/373143104?utm_medium=api&utm_source=rss
Game Programming Patterns,3,4.5,General Reading,2014,https://www.goodreads.com/review/show/927149987?utm_medium=api&utm_source=rss
