title,avg_enjoyment,goodreads_rating,amazon_rating,category
Mrs. Astor Regrets: The Hidden Betrayals of a Family Beyond Reproach,3,3.59,,General Reading
The Cinema of George Lucas,3,4.24,,General Reading
Economic Analysis of the Law: Selected Readings,3,3.0,,General Reading
"Merchants and Revolution: Commercial Change, Political Conflict, and London's Overseas Traders, 1550-1653",2,3.88,,General Reading
Steve Jobs,4,4.15,,General Reading
The Black Cloud,4,3.9,,General Reading
Simplicity As Evidence of Truth (Aquinas Lecture),2,2.0,,General Reading
Schismatrix Plus,5,3.94,,General Reading
Planning for Empire: Reform Bureaucrats and the Japanese Wartime State,1,3.44,,General Reading
World on Fire: How Exporting Free Market Democracy Breeds Ethnic Hatred and Global Instability,4,3.81,,General Reading
"The Clockwork Rocket (Orthogonal, #1)",2,3.65,,General Reading
Nothing to Envy: Ordinary Lives in North Korea,5,4.43,,General Reading
Sum: Forty Tales from the Afterlives,4,4.13,,General Reading
The Decameron,2,3.89,,General Reading
"Water Sleeps (The Chronicles of the Black Company, #8)",3,4.09,,General Reading
"She is the Darkness (The Chronicles of the Black Company, #7)",2,4.1,,General Reading
"Bleak Seasons (The Chronicles of the Black Company, #6)",3,3.93,,General Reading
"The Silver Spike (The Chronicles of the Black Company, #3.5)",2,3.96,,General Reading
"Shadows Linger (The Chronicles of the Black Company, #2)",4,4.18,,General Reading
"The White Rose (The Chronicles of the Black Company, #3)",2,4.21,,General Reading
The Eighteenth Brumaire of Louis Bonaparte,3,4.21,,General Reading
The Old Regime and the French Revolution,4,4.04,,General Reading
"The Adventures of the Stainless Steel Rat (Stainless Steel Rat, #4-6)",3,4.13,,General Reading
The Clouds Should Know Me By Now: Buddhist Poet Monks of China,4,4.31,,General Reading
"Underground: Tales of hacking, madness, and obsession on the electronic frontier",4,4.19,,General Reading
Young Philby,3,3.38,,General Reading
George's Marvellous Medicine,4,4.05,,General Reading
Fantastic Mr. Fox,4,4.09,,General Reading
"Shades of Grey (Shades of Grey, #1)",4,4.14,,General Reading
Dreamland: Travels Inside the Secret World of Roswell and Area 51,3,3.49,,General Reading
Buddhist Ethics: A Very Short Introduction,3,3.59,,General Reading
Ex-Prodigy: My Childhood and Youth,3,3.67,,General Reading
Cybernetics: Or Control and Communication in the Animal and the Machine,3,3.97,,General Reading
Paper Dinosaur (Make Your Own S.),4,4.14,,General Reading
Four Past Midnight,4,3.97,,General Reading
Raptor Red,5,3.96,,General Reading
"Rats, Bats & Vats (The Rats and the Bats, #1)",3,3.79,,General Reading
The Tragical History of Doctor Faustus,4,4.13,,General Reading
Anthropic Bias (Studies in Philosophy),4,3.9,,General Reading
"Heisenberg and the Nazi Atomic Bomb Project, 1939-1945: A Study in German Culture",3,3.89,,General Reading
"Global Price Fixing: Our Customers are the Enemy (Studies in Industrial Organization, 24)",4,4.0,,General Reading
Demian: Die Geschichte von Emil Sinclairs Jugend,4,4.18,,General Reading
Man's Search for Meaning,3,4.38,,General Reading
Shadows of the New Sun,4,4.0,,General Reading
Back to Methuselah,3,3.84,,General Reading
"The Dutchesse of Malfy a tragedy: as it was approvedly well acted at the Black-friers, by His Maiesties servants: the perfect and exact copy, with ... would not beare in the presentment (1640)",2,2.5,,General Reading
Kim,3,3.71,,General Reading
Heaven and Hell,3,3.51,,General Reading
The Doors of Perception & Heaven and Hell,3,3.94,,General Reading
"The Mote in God's Eye (Moties, #1)",4,4.08,,General Reading
Musa Pedestris - Three Centuries of Canting Songs and Slang Rhymes 1536 - 1896,3,3.5,,General Reading
10 PRINT CHR$(205.5+RND(1)); : GOTO 10,3,3.81,,General Reading
Create Your Own Economy: The Path to Prosperity in a Disordered World,2,3.37,,General Reading
The Sword of Good,3,3.95,,General Reading
Three Worlds Collide,4,4.17,,General Reading
Cochrane Handbook for Systematic Reviews of Interventions,4,4.31,,General Reading
The Orthodox Corruption of Scripture: The Effect of Early Christological Controversies on the Text of the New Testament,4,4.06,,General Reading
Twilight of the Elites: America After Meritocracy,3,3.96,,General Reading
"Ethics: History, Theory, and Contemporary Issues",4,3.78,,General Reading
When Prophecy Fails: A Social and Psychological Study of a Modern Group that Predicted the Destruction of the World,4,3.75,,General Reading
"The Nuclear Taboo: The United States and the Non-Use of Nuclear Weapons Since 1945 (Cambridge Studies in International Relations, Series Number 87)",4,4.0,,General Reading
"Coming Apart: The State of White America, 1960-2010",4,3.77,,General Reading
Psychiatry And the Human Condition,3,4.0,,General Reading
Liars and Outliers: Enabling the Trust that Society Needs to Thrive,4,3.78,,General Reading
De Profundis,4,4.12,,General Reading
The Goal: A Process of Ongoing Improvement,3,4.05,,General Reading
Beyond Good and Evil,4,4.05,,General Reading
"Walden or, Life in the Woods",4,3.77,,General Reading
The Little Book of Talent: 52 Tips for Improving Your Skills,2,4.01,,General Reading
Shop Class as Soulcraft: An Inquiry Into the Value of Work,3,3.73,,General Reading
I Know Who You Are and I Saw What You Did: Social Networks and the Death of Privacy,4,3.61,,General Reading
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",3,3.71,,General Reading
The Moral Basis of a Backward Society,4,3.86,,General Reading
When God Talks Back: Understanding the American Evangelical Relationship with God,4,3.93,,General Reading
The Big Short: Inside the Doomsday Machine,3,4.2,,General Reading
How to Succeed in Evil,3,3.84,,General Reading
Good and Plenty: The Creative Successes of American Arts Funding,4,3.58,,General Reading
Fallout: Equestria,4,4.63,,General Reading
"Left Behind (Left Behind, #1)",1,3.86,,General Reading
Handbook of Psychopathy,3,4.31,,General Reading
Birds,4,3.91,,General Reading
Singularity,3,4.03,,General Reading
A Vindication of the Rights of Women,3,3.82,,General Reading
The Drive-in 2,2,3.53,,General Reading
Joe R. Lansdale's The Drive-In,3,3.91,,General Reading
Empty Words: Buddhist Philosophy and Cross-Cultural Interpretation,3,4.23,,General Reading
50 in 50: Fifty stories for fifty years!,3,3.89,,General Reading
The White-Luck Warrior,4,4.11,,General Reading
"The Darkness That Comes Before (The Prince of Nothing, #1)",4,3.83,,General Reading
"The Warrior Prophet (The Prince of Nothing, #2)",3,3.98,,General Reading
Path of the Fury (Furies #2),4,4.23,,General Reading
Snakes in Suits: When Psychopaths Go to Work,2,3.66,,General Reading
"Five Children and It (The Psammead Trilogy, #1)",4,3.85,,General Reading
"The Koreans: Who They Are, What They Want, Where Their Future Lies",3,3.64,,General Reading
War without Mercy: Race and Power in the Pacific War,4,4.06,,General Reading
The Art of UNIX Programming,4,4.17,,General Reading
Polyamory in the 21st Century: Love and Intimacy with Multiple Partners,3,3.72,,General Reading
On Bullshit,3,3.58,,General Reading
The Psychopath: Emotion and the Brain,3,3.87,,General Reading
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",3,4.19,,General Reading
The Sorrows of Young Werther,2,3.72,,General Reading
The UNIX Hater's Handbook: The Best of UNIX-Haters On-line Mailing Reveals Why UNIX Must Die!,4,3.78,,General Reading
What the Dormouse Said: How the Sixties Counterculture Shaped the Personal Computer Industry,3,3.8,,General Reading
Capability-based computer systems,2,4.0,,General Reading
Reason & Persuasion: Three Dialogues by Plato,4,3.83,,General Reading
"Rules of Engagement (The Serrano Legacy, #5)",3,4.03,,General Reading
"Winning Colors (The Serrano Legacy, #3)",2,3.93,,General Reading
"Sporting Chance (The Serrano Legacy, #2)",2,3.99,,General Reading
Goodnight Moon,4,4.31,,General Reading
The Lorax,4,4.35,,General Reading
Copper: A Comics Collection,4,4.08,,General Reading
The Jewish War,5,4.01,,General Reading
Psychology of Intelligence Analysis,4,4.29,,General Reading
"A Study of History, Vol 1: Introduction; The Geneses of Civilizations (A Study of History, #1)",4,4.11,,General Reading
The Historian,3,3.78,,General Reading
The Decline of the West,4,4.09,,General Reading
"The Forever War (The Forever War, #1)",4,4.14,,General Reading
The Planet Buyer,3,3.84,,General Reading
The Waterworks,3,3.45,,General Reading
Great Mambo Chicken And The Transhuman Condition: Science Slightly Over The Edge,5,4.01,,General Reading
The Pilgrim's Progress,2,4.06,,General Reading
The Brain Makers,3,3.65,,General Reading
The Secret History,3,3.86,,General Reading
Arms And The Man,3,3.86,,General Reading
The Perfect Store: Inside eBay,3,3.85,,General Reading
Modern Egypt,3,2.89,,General Reading
Urantia: The Great Cult Mystery,4,3.4,,General Reading
Weird Water and Fuzzy Logic,3,3.63,,General Reading
Fads and Fallacies in the Name of Science,3,4.06,,General Reading
"Star Wars: Children of the Jedi (The Callista Trilogy, #1)",3,3.27,,General Reading
The True Confessions of Charlotte Doyle,4,3.85,,General Reading
Red Ranger Came Calling,4,4.38,,General Reading
The Last Basselope: One Ferocious Story,3,4.31,,General Reading
The Anatomy of Revolution,4,3.78,,General Reading
The Unabridged Devil's Dictionary,4,4.08,,General Reading
Empire,2,3.76,,General Reading
Sinfest,3,4.04,,General Reading
The Epic of Gilgamesh,4,3.7,,General Reading
"Wild Magic (Immortals, #1)",4,4.31,,General Reading
Seven Pillars of Wisdom: A Triumph,4,3.89,,General Reading
Psychological Warfare (WWII Era Reprint),4,3.93,,General Reading
Cicero's Treatise On The Nature Of The Gods,5,4.33,,General Reading
Out of Iraq: A Practical Plan for Withdrawal Now,2,3.59,,General Reading
Communities in Cyberspace,3,3.52,,General Reading
A Journey to the Tea Countries of China,4,4.11,,General Reading
White Light,2,3.92,,General Reading
The Iron Dream,4,3.61,,General Reading
The Art of Reasoning,3,3.95,,General Reading
"Banks, Palaces and Entrepreneurs in Renaissance Florence (Variorum Collected Studies)",3,4.0,,General Reading
Chimpanzee Politics: Power and Sex among Apes,3,4.28,,General Reading
"The Rise & Decline of The Medici Bank, 1397-1494",4,4.1,,General Reading
"Muslim Neoplatonists: An Introduction To The Thought Of The Brethren Of Purity, Ikhwān Al Ṣafāʾ",4,4.5,,General Reading
The Autobiography of a Criminal,4,3.8,,General Reading
Dark Empire Sourcebook (Star Wars RPG),3,3.65,,General Reading
"Attending Daedalus: Gene Wolfe, Artifice and the Reader",4,3.97,,General Reading
Codex Seraphinianus. Ein Orbis Pictus des Universums der Phantasie.,5,4.44,,General Reading
"Krazy and Ignatz, 1939-1940: A Brick Stuffed With Moom-bins",4,4.54,,General Reading
"Krazy and Ignatz, 1929-1930: A Mice, a Brick, a Lovely Night",4,4.54,,General Reading
"Krazy & Ignatz, 1931-1932: A Kat a'Lilt with Song",4,4.64,,General Reading
"Krazy and Ignatz, 1933-1934: Necromancy by the Blue Bean Bush",4,4.6,,General Reading
"Krazy and Ignatz, 1937-1938: Shifting Sands Dusts Its Cheeks in Powdered Beauty",4,4.61,,General Reading
"Krazy and Ignatz, 1919-1921: A Kind, Benevolent, and Amiable Brick",4,4.56,,General Reading
The Best of Little Nemo in Slumberland,5,4.38,,General Reading
ANSI Common Lisp,4,4.11,,General Reading
"Red Mars (Mars Trilogy, #1)",4,3.84,,General Reading
"Veil: The Secret Wars of the CIA, 1981-87",3,3.59,,General Reading
The Debian System: Concepts and Techniques,4,3.98,,General Reading
"Pippi Longstocking (Pippi Långstrump, #1)",3,3.92,,General Reading
The Fall of the House of Usher,3,3.9,,General Reading
The Mysterious Stranger,4,4.05,,General Reading
The Hidden Persuaders,3,3.56,,General Reading
A Day No Pigs Would Die,3,3.75,,General Reading
"Free Software, Free Society: Selected Essays",3,4.11,,General Reading
"Code: And Other Laws of Cyberspace, Version 2.0",5,3.93,,General Reading
Free Culture: The Nature and Future of Creativity,4,4.1,,General Reading
The Jungle,3,3.77,,General Reading
The Grand Inquisitor,4,4.27,,General Reading
The Wind in the Willows,4,4.02,,General Reading
"I Know Why the Caged Bird Sings (Maya Angelou's Autobiography, #1)",1,4.3,,General Reading
All Quiet on the Western Front,4,4.06,,General Reading
The Forlorn,3,3.52,,General Reading
"Wizard's Bane (Wiz, #1)",4,3.82,,General Reading
"The Wizardry Compiled (Wiz, #2)",3,3.9,,General Reading
The Mysterious Island,3,4.11,,General Reading
"Paradise (The Divine Comedy, #3)",2,3.93,,General Reading
"The Divine Comedy of Dante Alighieri, Volume 2: Purgatorio",3,4.01,,General Reading
Inferno,4,4.03,,General Reading
The Complete Tales of Uncle Remus,4,4.21,,General Reading
The World Without Us,4,3.81,,General Reading
Leaves of Grass,2,3.94,,General Reading
Peer Gynt,2,3.72,,General Reading
"Neptune Crossing (Chaos Chronicles, #1)",4,3.56,,General Reading
Bush at War,4,3.53,,General Reading
The Age of Turbulence,3,3.64,,General Reading
Rules for the Direction of the Mind,3,3.72,,General Reading
Discourse on Method and Meditations on First Philosophy,4,3.78,,General Reading
On Liberty,4,3.94,,General Reading
"Charlie and the Great Glass Elevator (Charlie Bucket, #2)",4,3.69,,General Reading
"The Voyages of Doctor Dolittle (Doctor Dolittle, #2)",3,3.99,,General Reading
"The Story of Doctor Dolittle (Doctor Dolittle, #1)",4,3.98,,General Reading
Splendors of Meiji: Treasures of Imperial Japan: Masterpieces from the Khalili Collection,4,3.75,,General Reading
Scythian Gold,4,4.56,,General Reading
The Ruling Caste: Imperial Lives in the Victorian Raj,3,3.71,,General Reading
The Sufi Path of Knowledge: Ibn Al-Arabi's Metaphysics of Imagination,4,4.37,,General Reading
The Protestant Ethic and the Spirit of Capitalism,4,3.92,,General Reading
Robot Ghosts and Wired Dreams: Japanese Science Fiction from Origins to Anime,2,3.75,,General Reading
The Bioethics Reader: Editors' Choice,3,3.0,,General Reading
IQ and the Wealth of Nations,4,3.62,,General Reading
Symmetries and Reflections,3,4.25,,General Reading
"Science and Civilisation in China, Volume 5: Chemistry and Chemical Technology, Part 6: Military Technology: Missiles and Sieges",5,4.56,,General Reading
"The Double Axe, and Other Poems Including Eleven Suppressed Poems",4,4.29,,General Reading
Copenhagen,3,3.91,,General Reading
Children Above 180 IQ Stanford-Binet: Origin And Development,2,3.62,,General Reading
Six Chapters Of Life In A Cadre School: Memoirs From China's Cultural Revolution,3,3.17,,General Reading
The Legacy of Parmenides: Eleatic Monism and Later Presocratic Thought,4,4.24,,General Reading
Manalive (Hilarious Stories),2,4.2,,General Reading
"Religions, Values, and Peak-Experiences (Compass)",2,4.06,,General Reading
In the Shadow of No Towers,3,3.67,,General Reading
Balance of Power: International Politics As the Ultimate Global Game,3,4.06,,General Reading
"H.P. Lovecraft: Against the World, Against Life",3,3.96,,General Reading
The Nine: Inside the Secret World of the Supreme Court,3,4.09,,General Reading
Constantine's Sword: The Church and the Jews,4,4.09,,General Reading
On Thermonuclear War,4,4.07,,General Reading
"Bangkok Tattoo (Sonchai Jitpleecheep, #2)",3,3.79,,General Reading
"Bangkok 8 (Sonchai Jitpleecheep, #1)",3,3.74,,General Reading
The Art of Doing Science and Engineering: Learning to Learn,2,4.15,,General Reading
A Journal of the Plague Year,4,3.52,,General Reading
"This Way for the Gas, Ladies and Gentlemen",4,4.18,,General Reading
The Captive Mind,3,4.27,,General Reading
Opening the Xbox: Inside Microsoft's Plan to Unleash an Entertainment Revolution,3,4.08,,General Reading
Terror and Liberalism,4,3.9,,General Reading
The Guinea Pig Diaries: My Life as an Experiment,4,3.68,,General Reading
The Know-It-All,3,3.76,,General Reading
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,2,3.76,,General Reading
Secrets of the Samurai: A Survey of the Martial Arts of Feudal Japan,3,3.97,,General Reading
The New Hacker's Dictionary,4,4.13,,General Reading
S/Z: An Essay,2,4.01,,General Reading
Get Your War On,2,4.31,,General Reading
The Elements of Style,2,4.15,,General Reading
The Importance of Being Earnest,3,4.17,,General Reading
The Rime of the Ancient Mariner,4,3.95,,General Reading
"Going Postal (Discworld, #33; Moist von Lipwig, #1)",3,4.4,,General Reading
The Story Of Hassan Of Baghdad And How He Came To Make The Golden Journey To Samarkand,4,3.86,,General Reading
Shadows of the Mind: A Search for the Missing Science of Consciousness,2,3.97,,General Reading
"The Stainless Steel Rat Saves the World (Stainless Steel Rat, #6)",2,3.95,,General Reading
Rogue Moon,3,3.53,,General Reading
"The Hand of Oberon (The Chronicles of Amber, #4)",3,4.21,,General Reading
"Sign of the Unicorn (The Chronicles of Amber, #3)",3,4.14,,General Reading
"The Guns of Avalon (The Chronicles of Amber, #2)",3,4.15,,General Reading
"Nine Princes in Amber (The Chronicles of Amber, #1)",4,4.06,,General Reading
Joel on Software,3,4.22,,General Reading
Miyamoto Musashi: His Life and Writings,4,4.41,,General Reading
The Day of the Jackal,2,4.27,,General Reading
Manufacturing Consent: The Political Economy of the Mass Media,3,4.24,,General Reading
The Questions Of King Milinda - Part I,4,3.87,,General Reading
"The Eyre Affair (Thursday Next, #1)",3,3.89,,General Reading
"Encyclopedia Brown Gets His Man (Encyclopedia Brown, #4)",3,4.03,,General Reading
"Encyclopedia Brown Finds the Clues (Encyclopedia Brown, #3)",3,4.02,,General Reading
"Encyclopedia Brown and the Case of the Secret Pitch (Encyclopedia Brown, #2)",4,4.03,,General Reading
"Encyclopedia Brown, Boy Detective (Encyclopedia Brown, #1)",4,4.04,,General Reading
"The Secret Warning (The Hardy Boys, #17)",1,3.82,,General Reading
Nonzero: The Logic of Human Destiny (Vintage),4,4.0,,General Reading
"The World, the Flesh & the Devil: An Enquiry into the Future of the Three Enemies of the Rational Soul",4,3.71,,General Reading
"Deep Trouble (Goosebumps, #19)",3,3.56,,General Reading
"How I Got My Shrunken Head (Goosebumps, #39)",3,3.56,,General Reading
"Night of the Living Dummy II (Goosebumps, #31)",2,3.74,,General Reading
"Ghost Beach  (Goosebumps, #22)",3,3.76,,General Reading
"The Scarecrow Walks at Midnight (Goosebumps, #20)",1,3.72,,General Reading
"Let's Get Invisible! (Goosebumps, #6)",1,3.58,,General Reading
"Be Careful What You Wish For... (Goosebumps, #12)",3,3.68,,General Reading
"The Curse of the Mummy's Tomb (Goosebumps, #5)",1,3.68,,General Reading
"The Werewolf of Fever Swamp (Goosebumps, #14)",1,3.85,,General Reading
"Welcome to Camp Nightmare  (Goosebumps, #9)",3,3.8,,General Reading
"One Day at Horrorland (Goosebumps, #16)",2,3.93,,General Reading
"Stay Out of the Basement  (Goosebumps, #2)",1,3.72,,General Reading
"The Haunted Mask (Goosebumps, #11)",2,3.89,,General Reading
"Say Cheese and Die! (Goosebumps, #4)",4,3.81,,General Reading
"Night of the Living Dummy (Goosebumps, #7)",4,3.86,,General Reading
"Blue Wizard Is About to Die: Prose, Poems, and Emoto-Versatronic Expressionist Pieces About Video Games 1980-2003",3,3.35,,General Reading
Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,4,4.28,,General Reading
Fashionable Nonsense: Postmodern Intellectuals' Abuse of Science,4,3.87,,General Reading
The Red Castle,4,4.0,,General Reading
Me Talk Pretty One Day,3,4.01,,General Reading
Extremely Loud & Incredibly Close,3,3.98,,General Reading
Stuart Little,4,3.9,,General Reading
"Serpent Mage (The Death Gate Cycle, #4)",2,4.09,,General Reading
"Fire Sea (The Death Gate Cycle, #3)",3,4.08,,General Reading
"Elven Star (The Death Gate Cycle, #2)",2,3.99,,General Reading
"Dragon Wing (The Death Gate Cycle, #1)",3,3.97,,General Reading
The Alien IQ Test,2,3.57,,General Reading
Surfing through Hyperspace: Understanding Higher Universes in Six Easy Lessons,3,3.67,,General Reading
Sushi Never Sleeps,3,3.3,,General Reading
"The Simpsons and Philosophy: The D'oh! of Homer (Popular Culture and Philosophy, 2)",4,3.51,,General Reading
"Bloodtaking and Peacemaking: Feud, Law, and Society in Saga Iceland",4,4.23,,General Reading
E-Prime,3,4.0,,General Reading
To Be or Not: An E-Prime Anthology,2,3.85,,General Reading
The Empire of the Steppes: A History of Central Asia,4,4.07,,General Reading
The Old Man and the Sea,3,3.82,,General Reading
The Man in the Iron Mask (Le vicomte de Bragelonne #4/4),4,4.0,,General Reading
Japanese Court Poetry (Stanford Studies in the Civilizatons of Eastern Asia),4,4.29,,General Reading
"The Great Wave: Gilded Age Misfits, Japanese Eccentrics, and the Opening of Old Japan",2,3.74,,General Reading
The Great Wave: Price Revolutions and the Rhythm of History,4,4.12,,General Reading
Like Froth Floating on the Sea: The World of Pirates and Seafarers in Late Imperial South China (China Research Monograph),3,3.68,,General Reading
Once and Forever: The Tales of Kenji Miyazawa,4,3.98,,General Reading
War Against the Weak: Eugenics and America's Campaign to Create a Master Race,4,4.18,,General Reading
The Politics of Heroin: CIA Complicity in the Global Drug Trade,5,4.39,,General Reading
Neon Genesis Evangelion: The Unofficial Guide (Mysteries and Secrets Revealed!),1,3.04,,General Reading
Mechademia 3: Limits of the Human,3,3.9,,General Reading
Mechademia 1: Emerging Worlds of Anime and Manga,3,3.73,,General Reading
Mechademia 2: Networks of Desire,3,3.81,,General Reading
The Anime Encyclopedia: A Guide to Japanese Animation since 1917,4,3.89,,General Reading
Monkey: The Journey to the West,4,4.06,,General Reading
Indian Philosophy: An Introduction to Hindu and Buddhist Thought,4,3.8,,General Reading
Philosophy of Mind,4,4.0,,General Reading
A Presocratics Reader,5,3.86,,General Reading
"The Medici Bank: Its Organization, Management, Operations, and Decline",4,4.22,,General Reading
"Conversations with Shotetsu (Shotetsu Monogatari) (Michigan Monograph Series in Japanese Studies, Number 7)",3,3.75,,General Reading
Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth,3,4.22,,General Reading
Haskell: The Craft of Functional Programming,4,3.51,,General Reading
The Cambridge Handbook of Expertise and Expert Performance (Cambridge Handbooks in Psychology),4,4.28,,General Reading
"Eaten Alive (Star Wars: Galaxy of Fear, #1)",3,3.72,,General Reading
"Planet Plague (Star Wars: Galaxy of Fear, #3)",1,3.43,,General Reading
"City of the Dead (Star Wars: Galaxy of Fear, #2)",2,3.53,,General Reading
Star Wars: The Annotated Screenplays,4,4.3,,General Reading
Star Wars: The New Rebellion,2,3.47,,General Reading
"Star Wars: Planet of Twilight (The Callista Trilogy, #3)",3,3.04,,General Reading
"Star Wars: Boba Fett - Death, Lies, & Treachery",3,3.62,,General Reading
Star Wars: The Essential Guide to Weapons and Technology,2,3.94,,General Reading
Star Wars: Crimson Empire II - Council of Blood,3,3.58,,General Reading
A Guide to the Star Wars Universe,2,3.95,,General Reading
"Star Wars Omnibus: Tales of the Jedi, Volume 1",3,3.74,,General Reading
The Glove of Darth Vader (Star Wars: Jedi Prince #1),1,2.78,,General Reading
The Lost City of the Jedi (Star Wars: Jedi Prince #2),1,3.2,,General Reading
Star Wars: The Essential Guide to Characters,4,3.99,,General Reading
Star Wars: Crimson Empire,4,3.95,,General Reading
Star Wars: Mara Jade - By the Emperor's Hand,2,3.92,,General Reading
Dark Empire II,3,3.38,,General Reading
Star Wars: Dark Empire I,3,3.64,,General Reading
"Crisis at Crystal Reef (Star Wars: Young Jedi Knights, #14)",1,3.55,,General Reading
"Trouble on Cloud City (Star Wars: Young Jedi Knights, #13)",1,3.57,,General Reading
"Delusions of Grandeur (Star Wars: Young Jedi Knights, #9)",3,3.56,,General Reading
The Lando Calrissian Adventures (Star Wars: The Lando Calrissian Adventures #1-3),2,3.39,,General Reading
"The Emperor's Plague (Star Wars: Young Jedi Knights, #11)",1,3.67,,General Reading
"Shards of Alderaan (Star Wars: Young Jedi Knights, #7)",1,3.57,,General Reading
"Darkest Knight (Star Wars: Young Jedi Knights, #5)",3,3.61,,General Reading
The Han Solo Adventures (Classic Star Wars),4,3.77,,General Reading
"The Lost Ones (Star Wars: Young Jedi Knights, #3)",3,3.55,,General Reading
"Lightsabers (Star Wars: Young Jedi Knights, #4)",3,3.76,,General Reading
"Shadow Academy (Star Wars: Young Jedi Knights, #2)",2,3.63,,General Reading
"Star Wars: Hard Merchandise (The Bounty Hunter Wars, #3)",2,3.64,,General Reading
"Starfighters of Adumar (Star Wars: X-Wing, #9)",3,4.03,,General Reading
"Star Wars: Tyrant's Test (The Black Fleet Crisis, #3)",3,3.42,,General Reading
"Isard's Revenge (Star Wars: X-Wing, #8)",2,3.96,,General Reading
"Star Wars: Shield of Lies (The Black Fleet Crisis, #2)",3,3.41,,General Reading
"Solo Command (Star Wars: X-Wing, #7)",2,4.06,,General Reading
Star Wars: Splinter of the Mind's Eye,2,3.29,,General Reading
"Iron Fist (Star Wars: X-Wing, #6)",4,4.06,,General Reading
"Wraith Squadron (Star Wars: X-Wing, #5)",3,4.13,,General Reading
"Star Wars: Rebel Dawn (The Han Solo Trilogy, #3)",2,3.94,,General Reading
"Star Wars: The Hutt Gambit (The Han Solo Trilogy, #2)",3,3.9,,General Reading
"Assault at Selonia (The Corellian Trilogy, #2)",2,3.56,,General Reading
"Star Wars: Showdown at Centerpoint (The Corellian Trilogy, #3)",1,3.6,,General Reading
The Crystal Star (Star Wars),2,3.1,,General Reading
"The Bacta War (Star Wars: X-Wing, #4)",4,4.05,,General Reading
"The Krytos Trap (Star Wars: X-Wing, #3)",2,3.99,,General Reading
"Star Wars: The Paradise Snare (The Han Solo Trilogy, #1)",3,3.9,,General Reading
"Wedge's Gamble (Star Wars: X-Wing, #2)",3,3.98,,General Reading
"Star Wars: I, Jedi",4,3.98,,General Reading
"Rogue Squadron (Star Wars: X-Wing, #1)",3,4.05,,General Reading
The Truce at Bakura (Star Wars),4,3.47,,General Reading
"Star Wars: Vision of the Future (The Hand of Thrawn Duology, #2)",2,4.1,,General Reading
Star Wars: Shadows of the Empire,4,3.84,,General Reading
The Courtship of Princess Leia (Star Wars),4,3.62,,General Reading
"Star Wars: Specter of the Past (The Hand of Thrawn Duology, #1)",3,4.02,,General Reading
"Vector Prime (Star Wars: The New Jedi Order, #1)",2,3.84,,General Reading
"Star Wars: The Last Command (The Thrawn Trilogy, #3)",4,4.27,,General Reading
"Star Wars: Dark Force Rising (The Thrawn Trilogy, #2)",3,4.19,,General Reading
"Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)",4,4.13,,General Reading
The Secret History of Star Wars,5,3.86,,General Reading
"The Phoenix Exultant (Golden Age, #2)",4,4.13,,General Reading
"The Golden Transcendence (Golden Age, #3)",3,4.16,,General Reading
"The Golden Age (Golden Age, #1)",5,4.08,,General Reading
"Orphans of Chaos (Chronicles of Chaos, #1)",3,3.61,,General Reading
"Kabbalah and Criticism (Continuum Impacts, 33)",3,3.77,,General Reading
Genius: A Mosaic of One Hundred Exemplary Creative Minds,4,3.94,,General Reading
How to Read and Why,2,3.63,,General Reading
Disclosure,4,3.8,,General Reading
"Legacy (The Way, #3)",3,3.78,,General Reading
"Eternity (The Way, #2)",3,3.9,,General Reading
"Cities in Flight (Cities in Flight, #1-4)",4,3.95,,General Reading
"Eon (The Way, #1)",4,3.89,,General Reading
The Club of Queer Trades,3,3.9,,General Reading
The Napoleon of Notting Hill,5,3.88,,General Reading
The Man Who Was Thursday: A Nightmare,4,3.85,,General Reading
Rikki-Tikki-Tavi,4,3.91,,General Reading
"The Jungle Book (Jungle Book, #1)",4,3.93,,General Reading
Man into Superman: The Startling Potential of Human Evolution -- And How To Be Part of It,4,3.9,,General Reading
Cosmopolis,4,3.28,,General Reading
White Noise,2,3.86,,General Reading
Breakdown of Will,4,4.23,,General Reading
Listening to Prozac,2,3.7,,General Reading
Wikinomics: How Mass Collaboration Changes Everything,2,3.74,,General Reading
The Decline and Fall of the Roman Empire,4,3.98,,General Reading
The Underground History of American Education: An Intimate Investigation Into the Prison of Modern Schooling,4,4.32,,General Reading
The Immortal Life of Henrietta Lacks,3,4.12,,General Reading
Finite and Infinite Games: A Vision of Life as Play and Possibility,4,3.7,,General Reading
The Dhammapada,5,4.26,,General Reading
"Zen Mind, Beginner's Mind: Informal Talks on Zen Meditation and Practice",3,4.21,,General Reading
Labyrinths: Selected Stories & Other Writings,5,4.47,,General Reading
Climbing Mount Improbable,3,4.12,,General Reading
The Magus,4,4.08,,General Reading
And Then There Were None,4,4.27,,General Reading
A Scanner Darkly,4,4.03,,General Reading
The Quark and the Jaguar: Adventures in the Simple and the Complex,3,3.86,,General Reading
